Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
RH,2024-10-27 00:35:00,86.659,,
RH,2024-10-27 00:40:00,87.1086,,
RH,2024-10-27 00:45:00,86.9165,,
RH,2024-10-27 00:50:00,86.9673,,
RH,2024-10-27 00:55:00,87.5012,,
RH,2024-10-27 01:00:00,87.7165,,
RH,2024-10-27 01:05:00,87.4444,,
RH,2024-10-27 01:10:00,87.504,,
RH,2024-10-27 01:15:00,87.4148,,
RH,2024-10-27 01:20:00,87.3582,,
RH,2024-10-27 01:25:00,87.3897,,
RH,2024-10-27 01:30:00,87.3565,,
RH,2024-10-27 01:35:00,87.8726,,
RH,2024-10-27 01:40:00,88.1298,,
RH,2024-10-27 01:45:00,88.3729,,
RH,2024-10-27 01:50:00,87.9332,,
RH,2024-10-27 01:55:00,87.9013,,
RH,2024-10-27 02:00:00,87.6885,,
RH,2024-10-27 02:15:00,87.7465,,
RH,2024-10-27 02:20:00,87.916,,
RH,2024-10-27 02:25:00,88.0129,,
RH,2024-10-27 02:30:00,88.3145,,
RH,2024-10-27 02:35:00,87.9509,,
RH,2024-10-27 02:40:00,87.4499,,
RH,2024-10-27 02:45:00,87.9457,,
RH,2024-10-27 02:50:00,87.8957,,
RH,2024-10-27 02:55:00,87.8059,,
RH,2024-10-27 03:00:00,87.4409,,
RH,2024-10-27 03:05:00,88.2271,,
RH,2024-10-27 03:10:00,88.6475,,
RH,2024-10-27 03:15:00,87.8102,,
RH,2024-10-27 03:20:00,87.9213,,
RH,2024-10-27 03:25:00,87.7623,,
RH,2024-10-27 03:30:00,88.0586,,
RH,2024-10-27 03:35:00,88.0756,,
RH,2024-10-27 03:40:00,88.2792,,
RH,2024-10-27 03:45:00,87.8183,,
RH,2024-10-27 03:50:00,88.2417,,
RH,2024-10-27 03:55:00,88.7891,,
RH,2024-10-27 04:00:00,88.9462,,
RH,2024-10-27 04:05:00,87.7418,,
RH,2024-10-27 04:10:00,88.1071,,
RH,2024-10-27 04:15:00,88.1197,,
RH,2024-10-27 04:20:00,88.2574,,
RH,2024-10-27 04:25:00,87.8943,,
RH,2024-10-27 04:30:00,87.899,,
RH,2024-10-27 04:35:00,87.306,,
RH,2024-10-27 04:40:00,88.3576,,
RH,2024-10-27 04:45:00,88.0957,,
RH,2024-10-27 04:50:00,88.8312,,
RH,2024-10-27 04:55:00,88.051,,
RH,2024-10-27 05:00:00,88.3099,,
RH,2024-10-27 05:05:00,88.4592,,
RH,2024-10-27 05:10:00,88.6049,,
RH,2024-10-27 05:15:00,88.8101,,
RH,2024-10-27 05:20:00,89.2543,,
RH,2024-10-27 05:25:00,89.0253,,
RH,2024-10-27 05:30:00,88.9802,,
RH,2024-10-27 05:35:00,89.4999,,
RH,2024-10-27 05:40:00,88.8244,,
RH,2024-10-27 05:45:00,88.6216,,
RH,2024-10-27 05:50:00,88.4002,,
RH,2024-10-27 05:55:00,88.9625,,
RH,2024-10-27 06:00:00,88.6383,,
RH,2024-10-27 06:05:00,88.4211,,
RH,2024-10-27 06:10:00,88.1436,,
RH,2024-10-27 06:15:00,87.9046,,
RH,2024-10-27 06:20:00,87.7766,,
RH,2024-10-27 06:25:00,88.0753,,
RH,2024-10-27 06:30:00,88.1742,,
RH,2024-10-27 06:35:00,87.6371,,
RH,2024-10-27 06:40:00,87.4945,,
RH,2024-10-27 06:45:00,87.1059,,
RH,2024-10-27 06:50:00,88.0444,,
RH,2024-10-27 06:55:00,87.9484,,
RH,2024-10-27 07:00:00,87.3991,,
RH,2024-10-27 07:05:00,87.5607,,
RH,2024-10-27 07:10:00,87.669,,
RH,2024-10-27 07:15:00,88.0972,,
RH,2024-10-27 07:20:00,86.8562,,
RH,2024-10-27 07:25:00,86.9991,,
RH,2024-10-27 07:30:00,86.1548,,
RH,2024-10-27 07:35:00,86.5574,,
RH,2024-10-27 07:40:00,86.1775,,
RH,2024-10-27 07:45:00,86.1005,,
RH,2024-10-27 07:50:00,85.7246,,
RH,2024-10-27 08:05:00,86.7504,,
RH,2024-10-27 08:10:00,86.6999,,
RH,2024-10-27 08:15:00,87.489,,
RH,2024-10-27 08:20:00,87.5414,,
RH,2024-10-27 08:25:00,86.8848,,
RH,2024-10-27 08:30:00,86.9974,,
RH,2024-10-27 08:35:00,86.4951,,
RH,2024-10-27 08:40:00,86.8415,,
RH,2024-10-27 08:45:00,86.7423,,
RH,2024-10-27 08:50:00,87.0354,,
RH,2024-10-27 08:55:00,86.892,,
RH,2024-10-27 09:00:00,86.9377,,
RH,2024-10-27 09:05:00,87.0487,,
RH,2024-10-27 09:10:00,87.2917,,
RH,2024-10-27 09:15:00,87.9238,,
RH,2024-10-27 09:20:00,86.954,,
RH,2024-10-27 09:25:00,86.8662,,
RH,2024-10-27 09:30:00,87.4518,,
RH,2024-10-27 09:35:00,87.5008,,
RH,2024-10-27 09:40:00,87.3267,,
RH,2024-10-27 09:45:00,87.2387,,
RH,2024-10-27 09:50:00,87.2775,,
RH,2024-10-27 09:55:00,86.7369,,
RH,2024-10-27 10:00:00,86.4565,,
RH,2024-10-27 10:05:00,86.7592,,
RH,2024-10-27 10:10:00,86.5187,,
RH,2024-10-27 10:15:00,86.5775,,
RH,2024-10-27 10:20:00,86.7383,,
RH,2024-10-27 10:25:00,86.2351,,
RH,2024-10-27 10:30:00,85.9146,,
RH,2024-10-27 10:35:00,86.2802,,
RH,2024-10-27 10:40:00,85.6315,,
RH,2024-10-27 10:45:00,86.4725,,
RH,2024-10-27 10:50:00,86.9372,,
RH,2024-10-27 10:55:00,85.9229,,
RH,2024-10-27 11:00:00,85.0937,,
RH,2024-10-27 11:05:00,84.7796,,
RH,2024-10-27 11:10:00,85.8761,,
RH,2024-10-27 11:15:00,84.7527,,
RH,2024-10-27 11:20:00,84.6473,,
RH,2024-10-27 11:25:00,83.6769,,
RH,2024-10-27 11:30:00,83.6243,,
RH,2024-10-27 11:35:00,84.3855,,
RH,2024-10-27 11:40:00,85.2442,,
RH,2024-10-27 11:45:00,84.6492,,
RH,2024-10-27 11:50:00,85.1031,,
RH,2024-10-27 11:55:00,84.9576,,
RH,2024-10-27 12:00:00,85.7406,,
RH,2024-10-27 12:05:00,86.2992,,
