Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
Conductivity,2025-07-30 00:00:00,3.8547,uS/m,uS/m
Conductivity,2025-07-30 01:00:00,3.85265,uS/m,uS/m
Conductivity,2025-07-30 02:00:00,3.85067,uS/m,uS/m
Conductivity,2025-07-30 03:00:00,3.8519,uS/m,uS/m
Conductivity,2025-07-30 04:00:00,3.85089,uS/m,uS/m
Conductivity,2025-07-30 05:00:00,3.84975,uS/m,uS/m
Conductivity,2025-07-30 06:00:00,3.8505,uS/m,uS/m
Conductivity,2025-07-30 07:00:00,3.85262,uS/m,uS/m
Conductivity,2025-07-30 08:00:00,3.85288,uS/m,uS/m
Conductivity,2025-07-30 09:00:00,3.85767,uS/m,uS/m
Conductivity,2025-07-30 10:00:00,3.85745,uS/m,uS/m
Conductivity,2025-07-30 11:00:00,3.85614,uS/m,uS/m
Conductivity,2025-07-30 12:00:00,3.85202,uS/m,uS/m
Conductivity,2025-07-30 13:00:00,3.84917,uS/m,uS/m
Conductivity,2025-07-30 14:00:00,3.85555,uS/m,uS/m
Conductivity,2025-07-30 15:00:00,3.85586,uS/m,uS/m
Conductivity,2025-07-30 16:00:00,3.85322,uS/m,uS/m
Conductivity,2025-07-30 17:00:00,3.85128,uS/m,uS/m
Conductivity,2025-07-30 18:00:00,3.84695,uS/m,uS/m
Conductivity,2025-07-30 19:00:00,3.8468,uS/m,uS/m
Conductivity,2025-07-30 20:00:00,3.84752,uS/m,uS/m
Conductivity,2025-07-30 21:00:00,3.84572,uS/m,uS/m
Conductivity,2025-07-30 22:00:00,3.84878,uS/m,uS/m
Conductivity,2025-07-30 23:00:00,3.85406,uS/m,uS/m
