Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
Pressure,2024-09-13 00:00:00,0.774,dbar,dbar
Pressure,2024-09-13 01:00:00,0.796,dbar,dbar
Pressure,2024-09-13 02:00:00,0.71,dbar,dbar
Pressure,2024-09-13 03:00:00,0.728,dbar,dbar
Pressure,2024-09-13 04:00:00,0.712,dbar,dbar
Pressure,2024-09-13 05:00:00,0.858,dbar,dbar
Pressure,2024-09-13 06:00:00,0.776,dbar,dbar
Pressure,2024-09-13 07:00:00,0.803,dbar,dbar
Pressure,2024-09-13 08:00:00,0.783,dbar,dbar
Pressure,2024-09-13 09:00:00,0.777,dbar,dbar
Pressure,2024-09-13 10:00:00,0.857,dbar,dbar
Pressure,2024-09-13 11:00:00,0.888,dbar,dbar
Pressure,2024-09-13 12:00:00,0.672,dbar,dbar
Pressure,2024-09-13 13:00:00,0.774,dbar,dbar
Pressure,2024-09-13 14:00:00,0.778,dbar,dbar
Pressure,2024-09-13 15:00:00,0.721,dbar,dbar
Pressure,2024-09-13 16:00:00,0.898,dbar,dbar
Pressure,2024-09-13 17:00:00,0.848,dbar,dbar
Pressure,2024-09-13 18:00:00,0.839,dbar,dbar
Pressure,2024-09-13 19:00:00,0.706,dbar,dbar
Pressure,2024-09-13 20:00:00,0.777,dbar,dbar
Pressure,2024-09-13 21:00:00,0.675,dbar,dbar
Pressure,2024-09-13 22:00:00,0.633,dbar,dbar
Pressure,2024-09-13 23:00:00,0.763,dbar,dbar
