Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
Pressure,2024-09-30 00:00:00,0.562,dbar,dbar
Pressure,2024-09-30 01:00:00,0.66,dbar,dbar
Pressure,2024-09-30 02:00:00,0.639,dbar,dbar
Pressure,2024-09-30 03:00:00,0.602,dbar,dbar
Pressure,2024-09-30 04:00:00,0.637,dbar,dbar
Pressure,2024-09-30 05:00:00,0.52,dbar,dbar
Pressure,2024-09-30 06:00:00,0.621,dbar,dbar
Pressure,2024-09-30 07:00:00,0.644,dbar,dbar
Pressure,2024-09-30 08:00:00,0.649,dbar,dbar
Pressure,2024-09-30 09:00:00,0.655,dbar,dbar
Pressure,2024-09-30 10:00:00,0.703,dbar,dbar
Pressure,2024-09-30 11:00:00,0.681,dbar,dbar
Pressure,2024-09-30 12:00:00,0.662,dbar,dbar
Pressure,2024-09-30 13:00:00,0.664,dbar,dbar
Pressure,2024-09-30 14:00:00,0.665,dbar,dbar
Pressure,2024-09-30 15:00:00,0.69,dbar,dbar
Pressure,2024-09-30 16:00:00,0.642,dbar,dbar
Pressure,2024-09-30 17:00:00,0.71,dbar,dbar
Pressure,2024-09-30 18:00:00,0.709,dbar,dbar
Pressure,2024-09-30 19:00:00,0.748,dbar,dbar
Pressure,2024-09-30 20:00:00,0.698,dbar,dbar
Pressure,2024-09-30 21:00:00,0.653,dbar,dbar
Pressure,2024-09-30 22:00:00,0.683,dbar,dbar
Pressure,2024-09-30 23:00:00,0.639,dbar,dbar
