Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
Salinity,2024-08-29 00:00:00,33.6111,psu,psu
Salinity,2024-08-29 01:00:00,33.6132,psu,psu
Salinity,2024-08-29 02:00:00,33.4378,psu,psu
Salinity,2024-08-29 03:00:00,33.3414,psu,psu
Salinity,2024-08-29 04:00:00,33.3109,psu,psu
Salinity,2024-08-29 05:00:00,33.3009,psu,psu
Salinity,2024-08-29 06:00:00,33.308,psu,psu
Salinity,2024-08-29 07:00:00,33.3419,psu,psu
Salinity,2024-08-29 08:00:00,33.3926,psu,psu
Salinity,2024-08-29 09:00:00,33.4574,psu,psu
Salinity,2024-08-29 10:00:00,33.5266,psu,psu
Salinity,2024-08-29 11:00:00,33.6951,psu,psu
Salinity,2024-08-29 12:00:00,33.7723,psu,psu
Salinity,2024-08-29 13:00:00,33.8332,psu,psu
Salinity,2024-08-29 14:00:00,33.8554,psu,psu
Salinity,2024-08-29 15:00:00,33.8718,psu,psu
Salinity,2024-08-29 16:00:00,33.8467,psu,psu
Salinity,2024-08-29 17:00:00,33.7757,psu,psu
Salinity,2024-08-29 18:00:00,33.8274,psu,psu
Salinity,2024-08-29 19:00:00,33.8666,psu,psu
Salinity,2024-08-29 20:00:00,33.6886,psu,psu
Salinity,2024-08-29 21:00:00,33.6699,psu,psu
Salinity,2024-08-29 22:00:00,33.6789,psu,psu
Salinity,2024-08-29 23:00:00,33.6755,psu,psu
