Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
Temperature,2025-07-18 00:00:00,11.4107,C,C
Temperature,2025-07-18 01:00:00,11.4028,C,C
Temperature,2025-07-18 02:00:00,11.3916,C,C
Temperature,2025-07-18 03:00:00,11.3795,C,C
Temperature,2025-07-18 04:00:00,11.376,C,C
Temperature,2025-07-18 05:00:00,11.3841,C,C
Temperature,2025-07-18 06:00:00,11.3823,C,C
Temperature,2025-07-18 07:00:00,11.381,C,C
Temperature,2025-07-18 08:00:00,11.3802,C,C
Temperature,2025-07-18 09:00:00,11.3766,C,C
Temperature,2025-07-18 10:00:00,11.375,C,C
Temperature,2025-07-18 11:00:00,11.3945,C,C
Temperature,2025-07-18 12:00:00,11.4428,C,C
Temperature,2025-07-18 13:00:00,11.4941,C,C
Temperature,2025-07-18 14:00:00,11.5334,C,C
Temperature,2025-07-18 15:00:00,11.5883,C,C
Temperature,2025-07-18 16:00:00,11.5935,C,C
Temperature,2025-07-18 17:00:00,11.54,C,C
Temperature,2025-07-18 18:00:00,11.4612,C,C
Temperature,2025-07-18 19:00:00,11.4202,C,C
Temperature,2025-07-18 20:00:00,11.4175,C,C
Temperature,2025-07-18 21:00:00,11.4394,C,C
Temperature,2025-07-18 22:00:00,11.4117,C,C
Temperature,2025-07-18 23:00:00,11.4038,C,C
