Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
oxygen,2024-09-09 00:00:00,6.612,ml/L,ml/L
oxygen,2024-09-09 01:00:00,6.494,ml/L,ml/L
oxygen,2024-09-09 02:00:00,6.551,ml/L,ml/L
oxygen,2024-09-09 03:00:00,6.576,ml/L,ml/L
oxygen,2024-09-09 04:00:00,6.545,ml/L,ml/L
oxygen,2024-09-09 05:00:00,6.371,ml/L,ml/L
oxygen,2024-09-09 06:00:00,6.15,ml/L,ml/L
oxygen,2024-09-09 07:00:00,5.848,ml/L,ml/L
oxygen,2024-09-09 08:00:00,5.993,ml/L,ml/L
oxygen,2024-09-09 09:00:00,6.011,ml/L,ml/L
oxygen,2024-09-09 10:00:00,6.01,ml/L,ml/L
oxygen,2024-09-09 11:00:00,5.972,ml/L,ml/L
oxygen,2024-09-09 12:00:00,6.218,ml/L,ml/L
oxygen,2024-09-09 13:00:00,6.628,ml/L,ml/L
oxygen,2024-09-09 14:00:00,5.955,ml/L,ml/L
oxygen,2024-09-09 15:00:00,5.319,ml/L,ml/L
oxygen,2024-09-09 16:00:00,5.978,ml/L,ml/L
oxygen,2024-09-09 17:00:00,6.613,ml/L,ml/L
oxygen,2024-09-09 18:00:00,6.952,ml/L,ml/L
oxygen,2024-09-09 19:00:00,7.175,ml/L,ml/L
oxygen,2024-09-09 20:00:00,7.347,ml/L,ml/L
oxygen,2024-09-09 21:00:00,7.296,ml/L,ml/L
oxygen,2024-09-09 22:00:00,7.329,ml/L,ml/L
oxygen,2024-09-09 23:00:00,6.651,ml/L,ml/L
