Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
BP,2024-09-02 00:00:00,246.937,hPa,hPa
BP,2024-09-02 00:05:00,245.443,hPa,hPa
BP,2024-09-02 00:10:00,249.747,hPa,hPa
BP,2024-09-02 00:15:00,248.342,hPa,hPa
BP,2024-09-02 00:20:00,251.111,hPa,hPa
BP,2024-09-02 00:25:00,262.491,hPa,hPa
BP,2024-09-02 00:30:00,250.788,hPa,hPa
BP,2024-09-02 00:35:00,261.263,hPa,hPa
BP,2024-09-02 00:40:00,250.209,hPa,hPa
BP,2024-09-02 00:45:00,246.329,hPa,hPa
BP,2024-09-02 00:50:00,248.274,hPa,hPa
BP,2024-09-02 00:55:00,246.983,hPa,hPa
BP,2024-09-02 01:00:00,246.064,hPa,hPa
BP,2024-09-02 01:05:00,246.404,hPa,hPa
BP,2024-09-02 01:10:00,260.307,hPa,hPa
BP,2024-09-02 01:15:00,265.701,hPa,hPa
BP,2024-09-02 01:20:00,259.692,hPa,hPa
BP,2024-09-02 01:25:00,254.32,hPa,hPa
BP,2024-09-02 01:30:00,250.38,hPa,hPa
BP,2024-09-02 01:35:00,265.326,hPa,hPa
BP,2024-09-02 01:40:00,270.495,hPa,hPa
BP,2024-09-02 01:45:00,262.984,hPa,hPa
BP,2024-09-02 01:50:00,259.178,hPa,hPa
BP,2024-09-02 01:55:00,261.937,hPa,hPa
BP,2024-09-02 02:00:00,261.075,hPa,hPa
BP,2024-09-02 02:05:00,259.922,hPa,hPa
BP,2024-09-02 02:10:00,261.539,hPa,hPa
BP,2024-09-02 02:15:00,263.051,hPa,hPa
BP,2024-09-02 02:20:00,269.379,hPa,hPa
BP,2024-09-02 02:25:00,278.986,hPa,hPa
BP,2024-09-02 02:30:00,268.126,hPa,hPa
BP,2024-09-02 02:35:00,271.476,hPa,hPa
BP,2024-09-02 02:40:00,274.083,hPa,hPa
BP,2024-09-02 02:45:00,279.734,hPa,hPa
BP,2024-09-02 02:50:00,278.584,hPa,hPa
BP,2024-09-02 02:55:00,279.634,hPa,hPa
BP,2024-09-02 03:00:00,288.904,hPa,hPa
BP,2024-09-02 03:05:00,290.628,hPa,hPa
BP,2024-09-02 03:10:00,302.949,hPa,hPa
BP,2024-09-02 03:15:00,309.076,hPa,hPa
BP,2024-09-02 03:20:00,311.732,hPa,hPa
BP,2024-09-02 03:25:00,299.532,hPa,hPa
BP,2024-09-02 03:30:00,312.758,hPa,hPa
BP,2024-09-02 03:35:00,305.909,hPa,hPa
BP,2024-09-02 03:40:00,305.623,hPa,hPa
BP,2024-09-02 03:45:00,303.762,hPa,hPa
BP,2024-09-02 03:50:00,302.091,hPa,hPa
BP,2024-09-02 03:55:00,302.416,hPa,hPa
BP,2024-09-02 04:00:00,310.429,hPa,hPa
BP,2024-09-02 04:05:00,311.348,hPa,hPa
BP,2024-09-02 04:10:00,315.391,hPa,hPa
BP,2024-09-02 04:15:00,327.743,hPa,hPa
