Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
BP_Avg,2025-07-19 00:00:00,1022.42,hPa,hPa
BP_Avg,2025-07-19 00:05:00,1022.32,hPa,hPa
BP_Avg,2025-07-19 00:10:00,1022.44,hPa,hPa
BP_Avg,2025-07-19 00:15:00,1022.52,hPa,hPa
BP_Avg,2025-07-19 00:20:00,1022.46,hPa,hPa
BP_Avg,2025-07-19 00:25:00,1022.96,hPa,hPa
BP_Avg,2025-07-19 00:30:00,1022.56,hPa,hPa
BP_Avg,2025-07-19 00:35:00,1022.61,hPa,hPa
BP_Avg,2025-07-19 00:40:00,1021.77,hPa,hPa
BP_Avg,2025-07-19 00:45:00,1022.4,hPa,hPa
BP_Avg,2025-07-19 00:50:00,1022.29,hPa,hPa
BP_Avg,2025-07-19 00:55:00,1022.41,hPa,hPa
BP_Avg,2025-07-19 01:00:00,1022.02,hPa,hPa
BP_Avg,2025-07-19 01:05:00,1022.22,hPa,hPa
BP_Avg,2025-07-19 01:10:00,1022.02,hPa,hPa
BP_Avg,2025-07-19 01:15:00,1021.98,hPa,hPa
BP_Avg,2025-07-19 01:20:00,1022.26,hPa,hPa
BP_Avg,2025-07-19 01:25:00,1022.27,hPa,hPa
BP_Avg,2025-07-19 01:30:00,1022.31,hPa,hPa
BP_Avg,2025-07-19 01:35:00,1021.88,hPa,hPa
BP_Avg,2025-07-19 01:40:00,1022.36,hPa,hPa
BP_Avg,2025-07-19 01:45:00,1022.08,hPa,hPa
BP_Avg,2025-07-19 01:50:00,1021.67,hPa,hPa
BP_Avg,2025-07-19 01:55:00,1022.6,hPa,hPa
BP_Avg,2025-07-19 02:00:00,1022.21,hPa,hPa
BP_Avg,2025-07-19 02:05:00,1021.8,hPa,hPa
BP_Avg,2025-07-19 02:10:00,1022.26,hPa,hPa
BP_Avg,2025-07-19 02:15:00,1021.89,hPa,hPa
BP_Avg,2025-07-19 02:20:00,1022.3,hPa,hPa
BP_Avg,2025-07-19 02:25:00,1022.12,hPa,hPa
BP_Avg,2025-07-19 02:30:00,1022.37,hPa,hPa
BP_Avg,2025-07-19 02:35:00,1022.41,hPa,hPa
BP_Avg,2025-07-19 02:40:00,1021.86,hPa,hPa
BP_Avg,2025-07-19 02:45:00,1022.14,hPa,hPa
BP_Avg,2025-07-19 02:50:00,1022.46,hPa,hPa
BP_Avg,2025-07-19 02:55:00,1022.34,hPa,hPa
BP_Avg,2025-07-19 03:00:00,1021.97,hPa,hPa
BP_Avg,2025-07-19 03:05:00,1021.9,hPa,hPa
BP_Avg,2025-07-19 03:10:00,1021.96,hPa,hPa
BP_Avg,2025-07-19 03:15:00,1021.86,hPa,hPa
BP_Avg,2025-07-19 03:20:00,1022.39,hPa,hPa
BP_Avg,2025-07-19 03:25:00,1022.04,hPa,hPa
BP_Avg,2025-07-19 03:30:00,1022.07,hPa,hPa
BP_Avg,2025-07-19 03:35:00,1021.53,hPa,hPa
BP_Avg,2025-07-19 03:40:00,1022.11,hPa,hPa
BP_Avg,2025-07-19 03:45:00,1021.77,hPa,hPa
BP_Avg,2025-07-19 03:50:00,1022.37,hPa,hPa
BP_Avg,2025-07-19 03:55:00,1021.89,hPa,hPa
BP_Avg,2025-07-19 04:00:00,1022.23,hPa,hPa
BP_Avg,2025-07-19 04:05:00,1022.14,hPa,hPa
BP_Avg,2025-07-19 04:10:00,1021.6,hPa,hPa
BP_Avg,2025-07-19 04:15:00,1021.83,hPa,hPa
BP_Avg,2025-07-19 04:20:00,1022.01,hPa,hPa
BP_Avg,2025-07-19 04:25:00,1022.58,hPa,hPa
BP_Avg,2025-07-19 04:30:00,1022.04,hPa,hPa
BP_Avg,2025-07-19 04:35:00,1022.14,hPa,hPa
BP_Avg,2025-07-19 04:40:00,1022.43,hPa,hPa
BP_Avg,2025-07-19 04:45:00,1021.96,hPa,hPa
BP_Avg,2025-07-19 04:50:00,1022.5,hPa,hPa
BP_Avg,2025-07-19 04:55:00,1022.08,hPa,hPa
BP_Avg,2025-07-19 05:00:00,1022.29,hPa,hPa
BP_Avg,2025-07-19 05:05:00,1021.97,hPa,hPa
BP_Avg,2025-07-19 05:10:00,1022.0,hPa,hPa
BP_Avg,2025-07-19 05:15:00,1021.98,hPa,hPa
