Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
BP_mmHg,2024-09-16 00:00:00,184.807,mmHg,mmHg
BP_mmHg,2024-09-16 00:05:00,183.979,mmHg,mmHg
BP_mmHg,2024-09-16 00:10:00,189.018,mmHg,mmHg
BP_mmHg,2024-09-16 00:15:00,194.654,mmHg,mmHg
BP_mmHg,2024-09-16 00:20:00,185.043,mmHg,mmHg
BP_mmHg,2024-09-16 00:25:00,184.075,mmHg,mmHg
BP_mmHg,2024-09-16 00:30:00,181.694,mmHg,mmHg
BP_mmHg,2024-09-16 00:35:00,191.807,mmHg,mmHg
BP_mmHg,2024-09-16 00:40:00,188.855,mmHg,mmHg
BP_mmHg,2024-09-16 00:45:00,183.231,mmHg,mmHg
BP_mmHg,2024-09-16 00:50:00,184.09,mmHg,mmHg
BP_mmHg,2024-09-16 00:55:00,183.577,mmHg,mmHg
BP_mmHg,2024-09-16 01:00:00,183.485,mmHg,mmHg
BP_mmHg,2024-09-16 01:05:00,183.934,mmHg,mmHg
BP_mmHg,2024-09-16 01:10:00,181.403,mmHg,mmHg
BP_mmHg,2024-09-16 01:15:00,178.399,mmHg,mmHg
BP_mmHg,2024-09-16 01:20:00,188.317,mmHg,mmHg
BP_mmHg,2024-09-16 01:25:00,181.382,mmHg,mmHg
BP_mmHg,2024-09-16 01:30:00,179.086,mmHg,mmHg
BP_mmHg,2024-09-16 01:35:00,186.022,mmHg,mmHg
BP_mmHg,2024-09-16 01:40:00,178.905,mmHg,mmHg
BP_mmHg,2024-09-16 01:45:00,177.938,mmHg,mmHg
BP_mmHg,2024-09-16 01:50:00,175.826,mmHg,mmHg
BP_mmHg,2024-09-16 01:55:00,184.862,mmHg,mmHg
BP_mmHg,2024-09-16 02:00:00,180.914,mmHg,mmHg
BP_mmHg,2024-09-16 02:05:00,176.632,mmHg,mmHg
BP_mmHg,2024-09-16 02:10:00,174.64,mmHg,mmHg
BP_mmHg,2024-09-16 02:15:00,185.108,mmHg,mmHg
BP_mmHg,2024-09-16 02:20:00,188.555,mmHg,mmHg
BP_mmHg,2024-09-16 02:25:00,178.381,mmHg,mmHg
BP_mmHg,2024-09-16 02:30:00,184.36,mmHg,mmHg
BP_mmHg,2024-09-16 02:35:00,177.512,mmHg,mmHg
BP_mmHg,2024-09-16 02:40:00,176.841,mmHg,mmHg
BP_mmHg,2024-09-16 02:45:00,177.122,mmHg,mmHg
BP_mmHg,2024-09-16 02:50:00,181.641,mmHg,mmHg
BP_mmHg,2024-09-16 02:55:00,186.869,mmHg,mmHg
BP_mmHg,2024-09-16 03:00:00,176.68,mmHg,mmHg
BP_mmHg,2024-09-16 03:05:00,182.553,mmHg,mmHg
BP_mmHg,2024-09-16 03:10:00,175.851,mmHg,mmHg
BP_mmHg,2024-09-16 03:15:00,180.423,mmHg,mmHg
