Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
BP_mmHg_Avg,2025-07-16 00:00:00,716.691,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 00:55:00,717.326,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 01:50:00,716.657,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 02:45:00,717.423,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 03:40:00,720.046,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 04:35:00,720.583,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 05:30:00,720.662,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 06:25:00,720.578,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 07:20:00,720.898,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 08:15:00,721.055,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 09:10:00,719.263,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 10:05:00,714.289,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 11:00:00,712.987,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 11:55:00,712.19,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 12:50:00,713.198,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 13:45:00,714.065,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 14:40:00,714.664,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 15:35:00,715.218,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 16:30:00,715.801,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 17:25:00,715.526,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 18:20:00,717.963,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 19:15:00,717.495,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 20:10:00,711.693,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 21:05:00,716.003,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 22:00:00,716.998,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 22:55:00,719.181,mmHg,mmHg
BP_mmHg_Avg,2025-07-16 23:50:00,718.956,mmHg,mmHg
