Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
BP_mmHg_Avg,2025-07-18 00:00:00,766.602,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:05:00,766.34,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:10:00,766.412,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:15:00,766.393,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:20:00,766.49,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:25:00,766.318,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:30:00,766.596,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:35:00,766.231,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:40:00,766.343,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:45:00,766.278,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:50:00,766.311,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 00:55:00,766.432,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:00:00,766.792,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:05:00,766.551,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:10:00,766.375,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:15:00,766.429,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:20:00,766.452,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:25:00,766.443,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:30:00,766.773,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:35:00,766.525,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:40:00,766.262,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:45:00,766.23,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:50:00,766.138,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 01:55:00,766.4,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:00:00,766.427,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:05:00,766.181,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:10:00,766.3,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:15:00,766.665,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:20:00,766.387,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:25:00,766.133,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:30:00,766.323,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:35:00,766.449,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:40:00,766.404,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:45:00,766.254,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:50:00,766.253,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 02:55:00,766.48,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:00:00,766.309,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:05:00,766.341,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:10:00,766.314,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:15:00,766.277,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:20:00,765.919,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:25:00,766.43,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:30:00,766.306,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:35:00,766.319,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:40:00,765.918,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:45:00,766.241,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:50:00,766.256,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 03:55:00,765.963,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:00:00,766.262,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:05:00,766.144,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:10:00,766.37,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:15:00,766.222,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:20:00,766.339,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:25:00,766.143,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:30:00,766.334,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:35:00,766.228,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:40:00,766.113,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:45:00,766.329,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:50:00,766.135,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 04:55:00,766.212,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:00:00,766.425,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:05:00,766.25,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:10:00,766.188,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:15:00,766.168,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:20:00,766.613,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:25:00,766.619,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:30:00,766.273,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:35:00,766.544,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:40:00,766.518,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:45:00,766.511,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:50:00,766.408,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 05:55:00,766.635,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:00:00,766.638,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:05:00,766.598,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:10:00,766.472,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:15:00,766.502,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:20:00,766.65,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:25:00,766.785,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:30:00,766.553,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:35:00,766.513,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:40:00,766.542,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:45:00,766.655,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:50:00,766.356,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 06:55:00,766.659,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:00:00,766.674,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:05:00,766.497,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:10:00,766.553,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:15:00,766.587,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:20:00,766.851,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:25:00,766.667,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:30:00,766.669,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:35:00,766.988,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:40:00,766.555,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:45:00,766.88,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:50:00,766.894,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 07:55:00,766.664,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:00:00,766.818,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:05:00,766.621,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:10:00,767.012,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:15:00,767.013,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:20:00,766.863,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:25:00,766.889,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:30:00,767.053,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:35:00,766.742,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:40:00,767.034,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:45:00,766.859,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:50:00,767.157,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 08:55:00,766.965,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:00:00,766.944,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:05:00,766.692,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:10:00,766.647,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:15:00,766.956,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:20:00,766.687,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:25:00,766.686,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:30:00,767.23,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:35:00,767.178,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:40:00,767.088,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:45:00,766.968,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:50:00,766.9,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 09:55:00,766.638,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:00:00,766.928,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:05:00,766.802,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:10:00,766.873,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:15:00,767.174,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:20:00,766.753,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:25:00,766.775,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:30:00,766.629,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:35:00,766.18,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:40:00,766.227,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:45:00,766.351,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:50:00,766.166,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 10:55:00,765.874,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:00:00,765.663,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:05:00,765.489,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:10:00,765.94,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:15:00,766.056,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:20:00,765.649,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:25:00,765.847,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:30:00,766.394,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:35:00,765.973,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:40:00,765.963,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:45:00,766.182,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:50:00,766.137,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 11:55:00,766.179,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:00:00,765.811,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:05:00,765.593,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:10:00,765.878,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:15:00,765.607,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:20:00,765.763,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:25:00,765.298,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:30:00,765.5,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:35:00,765.702,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:40:00,765.686,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:45:00,765.378,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:50:00,765.778,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 12:55:00,765.723,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:00:00,765.589,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:05:00,766.045,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:10:00,765.787,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:15:00,765.664,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:20:00,765.694,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:25:00,765.72,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:30:00,765.586,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:35:00,765.756,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:40:00,765.492,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:45:00,765.547,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:50:00,765.484,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 13:55:00,765.806,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 14:00:00,765.635,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 14:05:00,765.858,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 14:10:00,765.514,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 14:15:00,765.935,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 14:20:00,765.912,mmHg,mmHg
BP_mmHg_Avg,2025-07-18 14:25:00,765.973,mmHg,mmHg
