Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WS_ms_Avg,2025-08-02 00:00:00,7.605,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:01:00,7.365,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:02:00,7.636,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:03:00,7.77,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:04:00,7.244,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:05:00,7.513,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:06:00,8.32,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:07:00,8.12,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:08:00,7.742,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:09:00,7.809,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:10:00,7.598,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:11:00,7.717,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:12:00,8.0,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:13:00,7.726,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:14:00,8.35,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:15:00,10.14,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:16:00,9.83,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:17:00,8.98,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:18:00,8.38,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:19:00,8.37,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:20:00,8.3,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:21:00,7.252,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:22:00,7.263,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:23:00,7.054,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:24:00,6.457,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:25:00,6.466,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:26:00,7.267,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:27:00,8.17,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:28:00,7.425,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:29:00,7.595,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:30:00,7.138,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:31:00,7.611,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:32:00,7.941,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:33:00,8.32,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:34:00,7.907,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:35:00,9.07,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:36:00,12.86,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:37:00,11.8,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:38:00,10.66,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:39:00,10.45,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:40:00,9.38,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:41:00,9.81,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:42:00,9.75,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:43:00,9.04,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:44:00,7.437,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:45:00,8.43,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:46:00,9.11,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:47:00,8.85,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:48:00,8.68,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:49:00,8.97,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:50:00,9.29,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:51:00,8.44,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:52:00,8.29,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:53:00,7.719,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:54:00,7.78,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:55:00,7.275,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:56:00,8.23,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:57:00,7.806,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:58:00,8.6,meters/second,meters/second
WS_ms_Avg,2025-08-02 00:59:00,8.92,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:00:00,9.13,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:01:00,8.23,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:02:00,8.65,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:03:00,8.4,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:04:00,8.49,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:05:00,7.953,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:06:00,7.613,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:07:00,7.985,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:08:00,7.469,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:09:00,7.615,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:10:00,7.481,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:11:00,7.574,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:12:00,7.458,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:13:00,8.11,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:14:00,8.07,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:15:00,7.954,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:16:00,7.273,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:17:00,7.562,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:18:00,7.979,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:19:00,7.889,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:20:00,8.05,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:21:00,7.918,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:22:00,8.24,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:23:00,7.686,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:24:00,8.28,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:25:00,8.6,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:26:00,8.03,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:27:00,7.615,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:28:00,7.784,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:29:00,8.01,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:30:00,7.312,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:31:00,8.51,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:32:00,7.798,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:33:00,8.08,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:34:00,8.13,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:35:00,7.995,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:36:00,8.48,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:37:00,8.38,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:38:00,8.43,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:39:00,7.848,meters/second,meters/second
WS_ms_Avg,2025-08-02 01:40:00,8.3,meters/second,meters/second
