Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WS_ms_Max,2025-07-17 13:47:45,8.23,meters/second,meters/second
WS_ms_Max,2025-07-17 13:48:00,8.43,meters/second,meters/second
WS_ms_Max,2025-07-17 13:48:15,8.13,meters/second,meters/second
WS_ms_Max,2025-07-17 13:48:30,8.53,meters/second,meters/second
WS_ms_Max,2025-07-17 13:48:45,9.02,meters/second,meters/second
WS_ms_Max,2025-07-17 13:49:00,8.04,meters/second,meters/second
WS_ms_Max,2025-07-17 13:49:15,8.13,meters/second,meters/second
WS_ms_Max,2025-07-17 13:49:30,8.43,meters/second,meters/second
WS_ms_Max,2025-07-17 13:49:45,8.53,meters/second,meters/second
WS_ms_Max,2025-07-17 13:50:00,8.04,meters/second,meters/second
WS_ms_Max,2025-07-17 13:50:15,8.33,meters/second,meters/second
WS_ms_Max,2025-07-17 13:50:30,8.43,meters/second,meters/second
WS_ms_Max,2025-07-17 13:50:45,8.82,meters/second,meters/second
WS_ms_Max,2025-07-17 13:51:00,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 13:51:15,9.02,meters/second,meters/second
WS_ms_Max,2025-07-17 13:51:30,8.72,meters/second,meters/second
WS_ms_Max,2025-07-17 13:51:45,8.43,meters/second,meters/second
WS_ms_Max,2025-07-17 13:52:00,9.11,meters/second,meters/second
WS_ms_Max,2025-07-17 13:52:15,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 13:52:30,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 13:52:45,9.31,meters/second,meters/second
WS_ms_Max,2025-07-17 13:53:00,8.23,meters/second,meters/second
WS_ms_Max,2025-07-17 13:53:15,8.72,meters/second,meters/second
WS_ms_Max,2025-07-17 13:53:30,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 13:53:45,7.938,meters/second,meters/second
WS_ms_Max,2025-07-17 13:54:00,8.04,meters/second,meters/second
WS_ms_Max,2025-07-17 13:54:15,9.02,meters/second,meters/second
WS_ms_Max,2025-07-17 13:54:30,8.23,meters/second,meters/second
WS_ms_Max,2025-07-17 13:54:45,8.13,meters/second,meters/second
WS_ms_Max,2025-07-17 13:55:00,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 13:55:15,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 13:55:30,10.19,meters/second,meters/second
WS_ms_Max,2025-07-17 13:55:45,9.02,meters/second,meters/second
WS_ms_Max,2025-07-17 13:56:00,8.13,meters/second,meters/second
WS_ms_Max,2025-07-17 13:56:15,8.13,meters/second,meters/second
WS_ms_Max,2025-07-17 13:56:30,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 13:56:45,8.23,meters/second,meters/second
WS_ms_Max,2025-07-17 13:57:00,8.13,meters/second,meters/second
WS_ms_Max,2025-07-17 13:57:15,8.04,meters/second,meters/second
WS_ms_Max,2025-07-17 13:57:30,7.546,meters/second,meters/second
WS_ms_Max,2025-07-17 13:57:45,9.51,meters/second,meters/second
WS_ms_Max,2025-07-17 13:58:00,9.51,meters/second,meters/second
WS_ms_Max,2025-07-17 13:58:15,9.02,meters/second,meters/second
WS_ms_Max,2025-07-17 13:58:30,7.84,meters/second,meters/second
WS_ms_Max,2025-07-17 13:58:45,8.92,meters/second,meters/second
WS_ms_Max,2025-07-17 13:59:00,9.51,meters/second,meters/second
WS_ms_Max,2025-07-17 13:59:30,9.8,meters/second,meters/second
WS_ms_Max,2025-07-17 13:59:45,8.43,meters/second,meters/second
WS_ms_Max,2025-07-17 14:00:00,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 14:00:15,9.21,meters/second,meters/second
WS_ms_Max,2025-07-17 14:00:30,8.82,meters/second,meters/second
WS_ms_Max,2025-07-17 14:00:45,8.43,meters/second,meters/second
WS_ms_Max,2025-07-17 14:01:00,8.23,meters/second,meters/second
WS_ms_Max,2025-07-17 14:01:15,9.6,meters/second,meters/second
WS_ms_Max,2025-07-17 14:01:30,9.8,meters/second,meters/second
WS_ms_Max,2025-07-17 14:01:45,9.9,meters/second,meters/second
WS_ms_Max,2025-07-17 14:02:00,9.7,meters/second,meters/second
WS_ms_Max,2025-07-17 14:02:15,9.41,meters/second,meters/second
WS_ms_Max,2025-07-17 14:02:30,8.23,meters/second,meters/second
WS_ms_Max,2025-07-17 14:02:45,8.53,meters/second,meters/second
WS_ms_Max,2025-07-17 14:03:00,9.02,meters/second,meters/second
WS_ms_Max,2025-07-17 14:03:15,10.0,meters/second,meters/second
WS_ms_Max,2025-07-17 14:03:30,8.33,meters/second,meters/second
WS_ms_Max,2025-07-17 14:03:45,8.82,meters/second,meters/second
WS_ms_Max,2025-07-17 14:04:00,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 14:05:00,7.546,meters/second,meters/second
WS_ms_Max,2025-07-17 14:05:15,8.82,meters/second,meters/second
WS_ms_Max,2025-07-17 14:05:30,8.82,meters/second,meters/second
WS_ms_Max,2025-07-17 14:05:45,8.53,meters/second,meters/second
WS_ms_Max,2025-07-17 14:06:00,8.82,meters/second,meters/second
WS_ms_Max,2025-07-17 14:06:15,9.11,meters/second,meters/second
WS_ms_Max,2025-07-17 14:06:30,8.53,meters/second,meters/second
WS_ms_Max,2025-07-17 14:06:45,9.51,meters/second,meters/second
WS_ms_Max,2025-07-17 14:07:00,9.8,meters/second,meters/second
WS_ms_Max,2025-07-17 14:07:15,9.7,meters/second,meters/second
WS_ms_Max,2025-07-17 14:07:30,10.29,meters/second,meters/second
WS_ms_Max,2025-07-17 14:07:45,9.6,meters/second,meters/second
WS_ms_Max,2025-07-17 14:08:00,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 14:09:00,9.21,meters/second,meters/second
WS_ms_Max,2025-07-17 14:09:15,9.41,meters/second,meters/second
WS_ms_Max,2025-07-17 14:09:30,8.04,meters/second,meters/second
WS_ms_Max,2025-07-17 14:09:45,9.02,meters/second,meters/second
WS_ms_Max,2025-07-17 14:10:00,9.11,meters/second,meters/second
WS_ms_Max,2025-07-17 14:11:00,9.11,meters/second,meters/second
WS_ms_Max,2025-07-17 14:12:00,9.9,meters/second,meters/second
WS_ms_Max,2025-07-17 14:12:15,10.39,meters/second,meters/second
WS_ms_Max,2025-07-17 14:12:30,10.0,meters/second,meters/second
WS_ms_Max,2025-07-17 14:12:45,9.9,meters/second,meters/second
WS_ms_Max,2025-07-17 14:13:00,10.58,meters/second,meters/second
WS_ms_Max,2025-07-17 14:13:15,9.9,meters/second,meters/second
WS_ms_Max,2025-07-17 14:13:30,9.02,meters/second,meters/second
WS_ms_Max,2025-07-17 14:13:45,8.62,meters/second,meters/second
WS_ms_Max,2025-07-17 14:14:00,9.51,meters/second,meters/second
WS_ms_Max,2025-07-17 14:14:15,10.68,meters/second,meters/second
WS_ms_Max,2025-07-17 14:14:30,9.6,meters/second,meters/second
