Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WS_ms_Min,2025-07-17 13:47:45,0.0,meters/second,meters/second
WS_ms_Min,2025-07-17 13:48:00,5.684,meters/second,meters/second
WS_ms_Min,2025-07-17 13:48:15,5.978,meters/second,meters/second
WS_ms_Min,2025-07-17 13:48:30,5.782,meters/second,meters/second
WS_ms_Min,2025-07-17 13:48:45,5.096,meters/second,meters/second
WS_ms_Min,2025-07-17 13:49:00,5.684,meters/second,meters/second
WS_ms_Min,2025-07-17 13:49:15,6.076,meters/second,meters/second
WS_ms_Min,2025-07-17 13:49:30,6.174,meters/second,meters/second
WS_ms_Min,2025-07-17 13:49:45,5.292,meters/second,meters/second
WS_ms_Min,2025-07-17 13:50:00,5.782,meters/second,meters/second
WS_ms_Min,2025-07-17 13:50:15,5.88,meters/second,meters/second
WS_ms_Min,2025-07-17 13:50:30,5.488,meters/second,meters/second
WS_ms_Min,2025-07-17 13:50:45,5.194,meters/second,meters/second
WS_ms_Min,2025-07-17 13:51:00,6.468,meters/second,meters/second
WS_ms_Min,2025-07-17 13:51:15,6.272,meters/second,meters/second
WS_ms_Min,2025-07-17 13:51:30,6.076,meters/second,meters/second
WS_ms_Min,2025-07-17 13:51:45,5.488,meters/second,meters/second
WS_ms_Min,2025-07-17 13:52:00,5.096,meters/second,meters/second
WS_ms_Min,2025-07-17 13:52:15,6.37,meters/second,meters/second
WS_ms_Min,2025-07-17 13:52:30,6.566,meters/second,meters/second
WS_ms_Min,2025-07-17 13:52:45,6.37,meters/second,meters/second
WS_ms_Min,2025-07-17 13:53:00,5.88,meters/second,meters/second
WS_ms_Min,2025-07-17 13:53:15,6.762,meters/second,meters/second
WS_ms_Min,2025-07-17 13:53:30,6.762,meters/second,meters/second
WS_ms_Min,2025-07-17 13:53:45,6.272,meters/second,meters/second
WS_ms_Min,2025-07-17 13:54:00,5.782,meters/second,meters/second
WS_ms_Min,2025-07-17 13:54:15,5.586,meters/second,meters/second
WS_ms_Min,2025-07-17 13:54:30,5.586,meters/second,meters/second
WS_ms_Min,2025-07-17 13:54:45,6.076,meters/second,meters/second
WS_ms_Min,2025-07-17 13:55:00,6.174,meters/second,meters/second
WS_ms_Min,2025-07-17 13:55:15,7.448,meters/second,meters/second
WS_ms_Min,2025-07-17 13:55:30,6.37,meters/second,meters/second
WS_ms_Min,2025-07-17 13:55:45,6.86,meters/second,meters/second
WS_ms_Min,2025-07-17 13:56:00,4.802,meters/second,meters/second
WS_ms_Min,2025-07-17 13:56:15,5.39,meters/second,meters/second
WS_ms_Min,2025-07-17 13:56:30,5.978,meters/second,meters/second
WS_ms_Min,2025-07-17 13:56:45,5.88,meters/second,meters/second
WS_ms_Min,2025-07-17 13:57:00,5.488,meters/second,meters/second
WS_ms_Min,2025-07-17 13:57:15,5.684,meters/second,meters/second
