Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WS_ms_S_WVT,2025-08-13 00:00:00,6.564,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:01:00,6.587,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:02:00,6.301,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:03:00,6.349,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:04:00,7.027,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:05:00,6.783,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:06:00,6.301,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:07:00,6.089,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:08:00,6.692,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:09:00,6.806,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:10:00,6.659,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:11:00,6.502,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:12:00,6.486,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:13:00,6.481,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:14:00,6.507,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:15:00,6.682,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:16:00,6.512,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:17:00,6.228,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:18:00,6.55,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:19:00,6.494,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:20:00,6.066,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:21:00,6.52,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:22:00,6.017,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:23:00,6.185,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:24:00,5.895,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:25:00,6.011,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:26:00,6.208,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:27:00,6.412,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:28:00,6.089,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:29:00,6.715,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:30:00,6.674,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:31:00,6.574,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:32:00,6.444,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:33:00,6.148,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:34:00,5.918,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:35:00,6.352,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:36:00,6.814,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:37:00,6.252,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:38:00,5.767,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:39:00,5.834,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:40:00,5.555,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:41:00,6.02,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:42:00,5.971,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:43:00,5.478,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:44:00,6.556,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:45:00,6.19,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:46:00,5.983,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:47:00,5.96,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:48:00,5.758,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:49:00,6.084,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:50:00,6.357,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:51:00,6.182,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:52:00,6.035,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:53:00,6.233,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:54:00,5.758,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:55:00,6.489,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:56:00,6.027,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:57:00,6.172,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:58:00,6.115,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 00:59:00,6.334,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:00:00,6.034,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:01:00,6.133,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:02:00,6.084,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:03:00,6.19,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:04:00,6.412,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:05:00,6.185,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:06:00,6.419,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:07:00,6.502,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:08:00,6.577,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:09:00,5.927,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:10:00,5.383,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:11:00,5.88,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:12:00,6.481,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:13:00,6.524,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:14:00,5.896,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:15:00,6.401,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:16:00,6.265,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:17:00,5.996,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:18:00,5.878,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:19:00,5.713,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:20:00,6.569,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:21:00,6.02,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:22:00,5.9,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:23:00,6.025,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:24:00,5.873,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:25:00,6.068,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:26:00,6.003,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:27:00,5.994,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:28:00,5.65,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:29:00,6.167,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:30:00,6.037,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:31:00,5.922,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:32:00,5.774,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:33:00,6.489,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:34:00,6.027,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:35:00,5.9,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:36:00,6.007,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:37:00,5.856,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:38:00,5.153,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:39:00,5.382,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:40:00,5.269,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:41:00,5.834,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:42:00,4.853,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:43:00,5.258,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:44:00,5.725,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:45:00,5.906,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:46:00,5.49,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:47:00,5.075,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:48:00,5.047,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:49:00,4.322,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:50:00,4.234,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:51:00,4.385,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:52:00,4.49,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:53:00,4.255,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:54:00,4.35,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:55:00,5.555,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:56:00,5.042,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:57:00,5.091,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:58:00,5.395,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 01:59:00,4.72,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:00:00,4.751,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:01:00,4.903,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:02:00,4.928,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:03:00,5.651,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:04:00,5.031,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:05:00,5.215,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:06:00,5.276,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:07:00,5.116,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:08:00,5.013,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:09:00,5.367,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:10:00,5.64,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:11:00,5.036,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:12:00,5.45,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:13:00,5.416,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:14:00,5.511,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:15:00,5.905,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:16:00,6.398,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:17:00,6.003,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:18:00,5.904,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:19:00,6.398,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:20:00,5.467,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:21:00,5.178,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:22:00,5.707,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:23:00,5.844,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:24:00,6.252,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:25:00,5.424,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:26:00,6.452,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:27:00,6.071,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:28:00,6.179,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:29:00,6.161,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:30:00,6.146,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:31:00,6.341,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:32:00,6.259,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:33:00,6.181,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:34:00,5.958,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:35:00,5.864,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:36:00,6.296,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:37:00,6.298,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:38:00,6.437,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:39:00,6.385,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:40:00,6.71,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:41:00,6.522,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:42:00,6.182,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:43:00,6.502,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:44:00,6.661,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:45:00,6.349,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:46:00,6.594,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:47:00,6.029,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:48:00,6.888,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:49:00,6.664,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:50:00,6.878,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:51:00,6.571,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:52:00,6.749,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:53:00,6.339,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:54:00,6.955,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:55:00,6.824,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:56:00,6.922,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:57:00,7.386,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:58:00,7.053,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 02:59:00,7.045,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:00:00,6.847,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:01:00,6.752,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:02:00,7.112,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:03:00,5.79,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:04:00,5.842,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:05:00,6.826,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:06:00,6.873,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:07:00,7.286,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:08:00,7.154,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:09:00,6.867,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:10:00,7.169,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:11:00,7.203,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:12:00,7.201,meters/second,meters/second
WS_ms_S_WVT,2025-08-13 03:13:00,7.361,meters/second,meters/second
