Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WS_ms_Std,2025-07-29 00:00:00,0.393,meters/second,meters/second
WS_ms_Std,2025-07-29 00:01:00,0.488,meters/second,meters/second
WS_ms_Std,2025-07-29 00:02:00,0.428,meters/second,meters/second
WS_ms_Std,2025-07-29 00:03:00,0.548,meters/second,meters/second
WS_ms_Std,2025-07-29 00:04:00,0.406,meters/second,meters/second
WS_ms_Std,2025-07-29 00:05:00,0.51,meters/second,meters/second
WS_ms_Std,2025-07-29 00:06:00,0.328,meters/second,meters/second
WS_ms_Std,2025-07-29 00:07:00,0.54,meters/second,meters/second
WS_ms_Std,2025-07-29 00:08:00,0.566,meters/second,meters/second
WS_ms_Std,2025-07-29 00:09:00,0.515,meters/second,meters/second
WS_ms_Std,2025-07-29 00:10:00,0.435,meters/second,meters/second
WS_ms_Std,2025-07-29 00:11:00,0.525,meters/second,meters/second
WS_ms_Std,2025-07-29 00:12:00,0.403,meters/second,meters/second
WS_ms_Std,2025-07-29 00:13:00,0.389,meters/second,meters/second
WS_ms_Std,2025-07-29 00:14:00,0.399,meters/second,meters/second
WS_ms_Std,2025-07-29 00:15:00,0.322,meters/second,meters/second
WS_ms_Std,2025-07-29 00:16:00,0.378,meters/second,meters/second
WS_ms_Std,2025-07-29 00:17:00,0.434,meters/second,meters/second
WS_ms_Std,2025-07-29 00:18:00,0.425,meters/second,meters/second
WS_ms_Std,2025-07-29 00:19:00,0.485,meters/second,meters/second
WS_ms_Std,2025-07-29 00:20:00,0.339,meters/second,meters/second
WS_ms_Std,2025-07-29 00:21:00,0.414,meters/second,meters/second
WS_ms_Std,2025-07-29 00:22:00,0.354,meters/second,meters/second
WS_ms_Std,2025-07-29 00:23:00,0.545,meters/second,meters/second
WS_ms_Std,2025-07-29 00:24:00,0.435,meters/second,meters/second
WS_ms_Std,2025-07-29 00:25:00,0.515,meters/second,meters/second
WS_ms_Std,2025-07-29 00:26:00,0.437,meters/second,meters/second
WS_ms_Std,2025-07-29 00:27:00,0.356,meters/second,meters/second
WS_ms_Std,2025-07-29 00:28:00,0.301,meters/second,meters/second
WS_ms_Std,2025-07-29 00:29:00,0.286,meters/second,meters/second
WS_ms_Std,2025-07-29 00:30:00,0.326,meters/second,meters/second
WS_ms_Std,2025-07-29 00:31:00,0.334,meters/second,meters/second
WS_ms_Std,2025-07-29 00:32:00,0.286,meters/second,meters/second
WS_ms_Std,2025-07-29 00:33:00,0.261,meters/second,meters/second
WS_ms_Std,2025-07-29 00:34:00,0.255,meters/second,meters/second
WS_ms_Std,2025-07-29 00:35:00,0.283,meters/second,meters/second
WS_ms_Std,2025-07-29 00:36:00,0.254,meters/second,meters/second
WS_ms_Std,2025-07-29 00:37:00,0.257,meters/second,meters/second
WS_ms_Std,2025-07-29 00:38:00,0.266,meters/second,meters/second
WS_ms_Std,2025-07-29 00:39:00,0.288,meters/second,meters/second
WS_ms_Std,2025-07-29 00:40:00,0.253,meters/second,meters/second
WS_ms_Std,2025-07-29 00:41:00,0.243,meters/second,meters/second
WS_ms_Std,2025-07-29 00:42:00,0.305,meters/second,meters/second
WS_ms_Std,2025-07-29 00:43:00,0.332,meters/second,meters/second
WS_ms_Std,2025-07-29 00:44:00,0.273,meters/second,meters/second
WS_ms_Std,2025-07-29 00:45:00,0.373,meters/second,meters/second
WS_ms_Std,2025-07-29 00:46:00,0.32,meters/second,meters/second
WS_ms_Std,2025-07-29 00:47:00,0.317,meters/second,meters/second
WS_ms_Std,2025-07-29 00:48:00,0.259,meters/second,meters/second
WS_ms_Std,2025-07-29 00:49:00,0.285,meters/second,meters/second
