Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WindDir_Avg,2025-07-29 00:00:00,167.0,Degrees,Degrees
WindDir_Avg,2025-07-29 00:01:00,280.2,Degrees,Degrees
WindDir_Avg,2025-07-29 00:02:00,202.3,Degrees,Degrees
WindDir_Avg,2025-07-29 00:03:00,151.1,Degrees,Degrees
WindDir_Avg,2025-07-29 00:04:00,153.4,Degrees,Degrees
WindDir_Avg,2025-07-29 00:05:00,231.2,Degrees,Degrees
WindDir_Avg,2025-07-29 00:06:00,294.5,Degrees,Degrees
WindDir_Avg,2025-07-29 00:07:00,229.7,Degrees,Degrees
WindDir_Avg,2025-07-29 00:08:00,303.6,Degrees,Degrees
WindDir_Avg,2025-07-29 00:09:00,282.6,Degrees,Degrees
WindDir_Avg,2025-07-29 00:10:00,272.9,Degrees,Degrees
WindDir_Avg,2025-07-29 00:11:00,311.5,Degrees,Degrees
WindDir_Avg,2025-07-29 00:12:00,234.5,Degrees,Degrees
WindDir_Avg,2025-07-29 00:13:00,302.4,Degrees,Degrees
WindDir_Avg,2025-07-29 00:14:00,286.4,Degrees,Degrees
WindDir_Avg,2025-07-29 00:15:00,259.8,Degrees,Degrees
WindDir_Avg,2025-07-29 00:16:00,205.3,Degrees,Degrees
WindDir_Avg,2025-07-29 00:17:00,246.6,Degrees,Degrees
WindDir_Avg,2025-07-29 00:18:00,282.0,Degrees,Degrees
WindDir_Avg,2025-07-29 00:19:00,278.6,Degrees,Degrees
WindDir_Avg,2025-07-29 00:20:00,272.1,Degrees,Degrees
WindDir_Avg,2025-07-29 00:21:00,284.5,Degrees,Degrees
WindDir_Avg,2025-07-29 00:22:00,282.0,Degrees,Degrees
WindDir_Avg,2025-07-29 00:23:00,287.0,Degrees,Degrees
WindDir_Avg,2025-07-29 00:24:00,284.7,Degrees,Degrees
WindDir_Avg,2025-07-29 00:25:00,279.1,Degrees,Degrees
WindDir_Avg,2025-07-29 00:26:00,272.7,Degrees,Degrees
WindDir_Avg,2025-07-29 00:27:00,238.2,Degrees,Degrees
WindDir_Avg,2025-07-29 00:28:00,221.9,Degrees,Degrees
WindDir_Avg,2025-07-29 00:29:00,97.1,Degrees,Degrees
WindDir_Avg,2025-07-29 00:30:00,98.0,Degrees,Degrees
WindDir_Avg,2025-07-29 00:31:00,276.4,Degrees,Degrees
WindDir_Avg,2025-07-29 00:32:00,225.7,Degrees,Degrees
WindDir_Avg,2025-07-29 00:33:00,151.3,Degrees,Degrees
WindDir_Avg,2025-07-29 00:34:00,204.6,Degrees,Degrees
WindDir_Avg,2025-07-29 00:35:00,282.2,Degrees,Degrees
WindDir_Avg,2025-07-29 00:36:00,106.1,Degrees,Degrees
WindDir_Avg,2025-07-29 00:37:00,160.2,Degrees,Degrees
WindDir_Avg,2025-07-29 00:38:00,105.0,Degrees,Degrees
WindDir_Avg,2025-07-29 00:39:00,235.9,Degrees,Degrees
WindDir_Avg,2025-07-29 00:40:00,215.2,Degrees,Degrees
WindDir_Avg,2025-07-29 00:41:00,241.4,Degrees,Degrees
WindDir_Avg,2025-07-29 00:42:00,276.2,Degrees,Degrees
WindDir_Avg,2025-07-29 00:43:00,282.6,Degrees,Degrees
WindDir_Avg,2025-07-29 00:44:00,264.7,Degrees,Degrees
WindDir_Avg,2025-07-29 00:45:00,240.7,Degrees,Degrees
WindDir_Avg,2025-07-29 00:46:00,214.9,Degrees,Degrees
WindDir_Avg,2025-07-29 00:47:00,260.4,Degrees,Degrees
WindDir_Avg,2025-07-29 00:48:00,288.6,Degrees,Degrees
WindDir_Avg,2025-07-29 00:49:00,260.3,Degrees,Degrees
WindDir_Avg,2025-07-29 00:50:00,274.0,Degrees,Degrees
