Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WindDir_D1_WVT,2024-10-15 00:00:00,28.82,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:05:00,323.7,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:10:00,15.27,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:15:00,4.313,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:20:00,55.03,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:25:00,74.44,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:30:00,289.8,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:35:00,342.5,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:40:00,0.734,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:45:00,7.971,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:50:00,79.57,Deg,Deg
WindDir_D1_WVT,2024-10-15 00:55:00,288.8,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:00:00,164.7,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:05:00,28.0,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:10:00,288.2,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:15:00,284.0,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:20:00,68.84,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:25:00,229.8,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:30:00,247.9,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:35:00,331.7,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:40:00,289.2,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:45:00,110.0,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:50:00,281.1,Deg,Deg
WindDir_D1_WVT,2024-10-15 01:55:00,17.7,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:00:00,285.4,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:05:00,263.0,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:10:00,35.36,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:15:00,8.23,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:20:00,6.1,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:25:00,269.7,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:30:00,328.6,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:35:00,278.0,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:40:00,300.2,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:45:00,288.0,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:50:00,37.64,Deg,Deg
WindDir_D1_WVT,2024-10-15 02:55:00,9.12,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:00:00,245.2,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:05:00,83.1,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:10:00,189.2,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:15:00,338.0,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:20:00,7.031,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:25:00,223.2,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:30:00,317.6,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:35:00,59.59,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:40:00,32.81,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:45:00,18.49,Deg,Deg
WindDir_D1_WVT,2024-10-15 03:50:00,293.8,Deg,Deg
