Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WindDir_Max,2025-07-22 00:00:00,353.5,Degrees,Degrees
WindDir_Max,2025-07-22 00:00:15,89.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:00:30,66.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:00:45,73.51,Degrees,Degrees
WindDir_Max,2025-07-22 00:01:00,82.8,Degrees,Degrees
WindDir_Max,2025-07-22 00:01:15,83.5,Degrees,Degrees
WindDir_Max,2025-07-22 00:01:30,54.75,Degrees,Degrees
WindDir_Max,2025-07-22 00:01:45,78.46,Degrees,Degrees
WindDir_Max,2025-07-22 00:02:00,102.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:02:15,102.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:02:30,167.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:02:45,221.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:03:00,255.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:03:15,199.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:03:30,166.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:03:45,174.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:04:00,169.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:04:15,190.5,Degrees,Degrees
WindDir_Max,2025-07-22 00:04:30,152.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:04:45,123.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:05:00,113.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:05:15,59.92,Degrees,Degrees
WindDir_Max,2025-07-22 00:05:30,354.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:05:45,354.8,Degrees,Degrees
WindDir_Max,2025-07-22 00:06:00,354.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:06:15,78.1,Degrees,Degrees
WindDir_Max,2025-07-22 00:06:30,112.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:06:45,112.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:07:00,96.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:07:15,91.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:07:30,353.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:07:45,354.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:08:00,68.47,Degrees,Degrees
WindDir_Max,2025-07-22 00:08:15,82.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:08:30,137.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:08:45,93.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:09:00,348.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:09:15,352.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:09:30,341.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:09:45,353.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:10:00,348.1,Degrees,Degrees
WindDir_Max,2025-07-22 00:10:15,292.8,Degrees,Degrees
WindDir_Max,2025-07-22 00:10:30,289.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:10:45,297.8,Degrees,Degrees
WindDir_Max,2025-07-22 00:11:00,303.8,Degrees,Degrees
WindDir_Max,2025-07-22 00:11:15,311.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:11:30,341.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:11:45,349.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:12:00,289.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:12:15,283.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:12:30,235.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:12:45,172.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:13:00,155.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:13:15,135.5,Degrees,Degrees
WindDir_Max,2025-07-22 00:13:30,145.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:13:45,112.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:14:00,87.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:14:15,111.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:14:30,113.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:14:45,121.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:15:00,159.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:15:15,186.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:15:30,205.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:15:45,227.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:16:00,178.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:16:15,195.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:16:30,146.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:16:45,133.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:17:00,135.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:17:15,158.5,Degrees,Degrees
WindDir_Max,2025-07-22 00:17:30,151.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:17:45,158.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:18:00,169.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:18:15,141.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:18:30,123.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:18:45,135.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:19:00,131.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:19:15,135.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:19:30,143.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:19:45,165.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:20:00,127.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:20:15,82.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:20:30,86.8,Degrees,Degrees
WindDir_Max,2025-07-22 00:20:45,106.1,Degrees,Degrees
WindDir_Max,2025-07-22 00:21:00,122.1,Degrees,Degrees
WindDir_Max,2025-07-22 00:21:15,151.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:21:30,164.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:21:45,154.5,Degrees,Degrees
WindDir_Max,2025-07-22 00:22:00,166.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:22:15,132.6,Degrees,Degrees
WindDir_Max,2025-07-22 00:22:30,354.9,Degrees,Degrees
WindDir_Max,2025-07-22 00:22:45,354.8,Degrees,Degrees
WindDir_Max,2025-07-22 00:23:00,350.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:23:15,320.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:23:30,104.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:23:45,105.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:24:00,120.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:24:15,110.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:24:30,69.14,Degrees,Degrees
WindDir_Max,2025-07-22 00:24:45,81.1,Degrees,Degrees
WindDir_Max,2025-07-22 00:25:00,61.22,Degrees,Degrees
WindDir_Max,2025-07-22 00:25:15,62.14,Degrees,Degrees
WindDir_Max,2025-07-22 00:25:30,93.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:25:45,63.38,Degrees,Degrees
WindDir_Max,2025-07-22 00:26:00,66.33,Degrees,Degrees
WindDir_Max,2025-07-22 00:26:15,57.87,Degrees,Degrees
WindDir_Max,2025-07-22 00:26:30,73.51,Degrees,Degrees
WindDir_Max,2025-07-22 00:26:45,354.5,Degrees,Degrees
WindDir_Max,2025-07-22 00:27:00,354.3,Degrees,Degrees
WindDir_Max,2025-07-22 00:27:15,86.5,Degrees,Degrees
WindDir_Max,2025-07-22 00:27:30,102.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:27:45,139.2,Degrees,Degrees
WindDir_Max,2025-07-22 00:28:00,126.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:28:15,127.5,Degrees,Degrees
WindDir_Max,2025-07-22 00:28:30,142.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:28:45,173.0,Degrees,Degrees
WindDir_Max,2025-07-22 00:29:00,161.4,Degrees,Degrees
WindDir_Max,2025-07-22 00:29:15,149.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:29:30,114.7,Degrees,Degrees
WindDir_Max,2025-07-22 00:29:45,142.4,Degrees,Degrees
