Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WindDir_Min,2025-07-30 00:00:00,263.1,Degrees,Degrees
WindDir_Min,2025-07-30 00:01:00,194.0,Degrees,Degrees
WindDir_Min,2025-07-30 00:02:00,198.8,Degrees,Degrees
WindDir_Min,2025-07-30 00:03:00,206.1,Degrees,Degrees
WindDir_Min,2025-07-30 00:04:00,167.9,Degrees,Degrees
WindDir_Min,2025-07-30 00:05:00,231.3,Degrees,Degrees
WindDir_Min,2025-07-30 00:06:00,198.9,Degrees,Degrees
WindDir_Min,2025-07-30 00:07:00,195.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:08:00,204.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:09:00,246.3,Degrees,Degrees
WindDir_Min,2025-07-30 00:10:00,258.1,Degrees,Degrees
WindDir_Min,2025-07-30 00:11:00,197.2,Degrees,Degrees
WindDir_Min,2025-07-30 00:12:00,219.6,Degrees,Degrees
WindDir_Min,2025-07-30 00:13:00,271.6,Degrees,Degrees
WindDir_Min,2025-07-30 00:14:00,270.9,Degrees,Degrees
WindDir_Min,2025-07-30 00:15:00,217.8,Degrees,Degrees
WindDir_Min,2025-07-30 00:16:00,242.0,Degrees,Degrees
WindDir_Min,2025-07-30 00:17:00,263.4,Degrees,Degrees
WindDir_Min,2025-07-30 00:18:00,255.2,Degrees,Degrees
WindDir_Min,2025-07-30 00:19:00,250.2,Degrees,Degrees
WindDir_Min,2025-07-30 00:20:00,232.0,Degrees,Degrees
WindDir_Min,2025-07-30 00:21:00,200.4,Degrees,Degrees
WindDir_Min,2025-07-30 00:22:00,188.1,Degrees,Degrees
WindDir_Min,2025-07-30 00:23:00,235.4,Degrees,Degrees
WindDir_Min,2025-07-30 00:24:00,255.8,Degrees,Degrees
WindDir_Min,2025-07-30 00:25:00,263.2,Degrees,Degrees
WindDir_Min,2025-07-30 00:26:00,218.8,Degrees,Degrees
WindDir_Min,2025-07-30 00:27:00,221.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:28:00,252.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:29:00,212.9,Degrees,Degrees
WindDir_Min,2025-07-30 00:30:00,202.8,Degrees,Degrees
WindDir_Min,2025-07-30 00:31:00,224.0,Degrees,Degrees
WindDir_Min,2025-07-30 00:32:00,206.4,Degrees,Degrees
WindDir_Min,2025-07-30 00:33:00,209.9,Degrees,Degrees
WindDir_Min,2025-07-30 00:34:00,191.2,Degrees,Degrees
WindDir_Min,2025-07-30 00:35:00,215.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:36:00,262.3,Degrees,Degrees
WindDir_Min,2025-07-30 00:37:00,272.9,Degrees,Degrees
WindDir_Min,2025-07-30 00:38:00,255.4,Degrees,Degrees
WindDir_Min,2025-07-30 00:39:00,247.8,Degrees,Degrees
WindDir_Min,2025-07-30 00:40:00,252.6,Degrees,Degrees
WindDir_Min,2025-07-30 00:41:00,261.6,Degrees,Degrees
WindDir_Min,2025-07-30 00:42:00,260.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:43:00,262.5,Degrees,Degrees
WindDir_Min,2025-07-30 00:44:00,256.0,Degrees,Degrees
WindDir_Min,2025-07-30 00:45:00,221.4,Degrees,Degrees
WindDir_Min,2025-07-30 00:46:00,216.9,Degrees,Degrees
WindDir_Min,2025-07-30 00:47:00,242.5,Degrees,Degrees
WindDir_Min,2025-07-30 00:48:00,182.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:49:00,223.1,Degrees,Degrees
WindDir_Min,2025-07-30 00:50:00,271.5,Degrees,Degrees
WindDir_Min,2025-07-30 00:51:00,265.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:52:00,260.4,Degrees,Degrees
WindDir_Min,2025-07-30 00:53:00,246.4,Degrees,Degrees
WindDir_Min,2025-07-30 00:54:00,265.5,Degrees,Degrees
WindDir_Min,2025-07-30 00:55:00,195.9,Degrees,Degrees
WindDir_Min,2025-07-30 00:56:00,195.3,Degrees,Degrees
WindDir_Min,2025-07-30 00:57:00,228.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:58:00,259.7,Degrees,Degrees
WindDir_Min,2025-07-30 00:59:00,225.9,Degrees,Degrees
WindDir_Min,2025-07-30 01:00:00,199.2,Degrees,Degrees
WindDir_Min,2025-07-30 01:01:00,187.1,Degrees,Degrees
WindDir_Min,2025-07-30 01:02:00,193.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:03:00,190.1,Degrees,Degrees
WindDir_Min,2025-07-30 01:04:00,210.1,Degrees,Degrees
WindDir_Min,2025-07-30 01:05:00,267.1,Degrees,Degrees
WindDir_Min,2025-07-30 01:06:00,246.6,Degrees,Degrees
WindDir_Min,2025-07-30 01:07:00,246.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:08:00,256.7,Degrees,Degrees
WindDir_Min,2025-07-30 01:09:00,253.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:10:00,204.4,Degrees,Degrees
WindDir_Min,2025-07-30 01:11:00,221.9,Degrees,Degrees
WindDir_Min,2025-07-30 01:12:00,257.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:13:00,265.7,Degrees,Degrees
WindDir_Min,2025-07-30 01:14:00,262.6,Degrees,Degrees
WindDir_Min,2025-07-30 01:15:00,197.2,Degrees,Degrees
WindDir_Min,2025-07-30 01:16:00,259.9,Degrees,Degrees
WindDir_Min,2025-07-30 01:17:00,208.6,Degrees,Degrees
WindDir_Min,2025-07-30 01:18:00,194.1,Degrees,Degrees
WindDir_Min,2025-07-30 01:19:00,266.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:20:00,248.4,Degrees,Degrees
WindDir_Min,2025-07-30 01:21:00,263.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:22:00,260.0,Degrees,Degrees
WindDir_Min,2025-07-30 01:23:00,248.7,Degrees,Degrees
WindDir_Min,2025-07-30 01:24:00,202.5,Degrees,Degrees
WindDir_Min,2025-07-30 01:25:00,200.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:26:00,211.0,Degrees,Degrees
WindDir_Min,2025-07-30 01:27:00,250.9,Degrees,Degrees
WindDir_Min,2025-07-30 01:28:00,244.9,Degrees,Degrees
WindDir_Min,2025-07-30 01:29:00,233.0,Degrees,Degrees
WindDir_Min,2025-07-30 01:30:00,251.2,Degrees,Degrees
WindDir_Min,2025-07-30 01:31:00,253.5,Degrees,Degrees
WindDir_Min,2025-07-30 01:32:00,264.9,Degrees,Degrees
WindDir_Min,2025-07-30 01:33:00,255.6,Degrees,Degrees
WindDir_Min,2025-07-30 01:34:00,257.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:35:00,247.6,Degrees,Degrees
WindDir_Min,2025-07-30 01:36:00,269.6,Degrees,Degrees
WindDir_Min,2025-07-30 01:37:00,226.5,Degrees,Degrees
WindDir_Min,2025-07-30 01:38:00,190.2,Degrees,Degrees
WindDir_Min,2025-07-30 01:39:00,261.5,Degrees,Degrees
WindDir_Min,2025-07-30 01:40:00,213.0,Degrees,Degrees
WindDir_Min,2025-07-30 01:41:00,201.4,Degrees,Degrees
WindDir_Min,2025-07-30 01:42:00,220.1,Degrees,Degrees
WindDir_Min,2025-07-30 01:43:00,269.7,Degrees,Degrees
WindDir_Min,2025-07-30 01:44:00,244.9,Degrees,Degrees
WindDir_Min,2025-07-30 01:45:00,261.7,Degrees,Degrees
WindDir_Min,2025-07-30 01:46:00,259.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:47:00,267.9,Degrees,Degrees
WindDir_Min,2025-07-30 01:48:00,267.0,Degrees,Degrees
WindDir_Min,2025-07-30 01:49:00,255.2,Degrees,Degrees
WindDir_Min,2025-07-30 01:50:00,273.9,Degrees,Degrees
WindDir_Min,2025-07-30 01:51:00,257.6,Degrees,Degrees
WindDir_Min,2025-07-30 01:52:00,234.6,Degrees,Degrees
WindDir_Min,2025-07-30 01:53:00,256.4,Degrees,Degrees
WindDir_Min,2025-07-30 01:54:00,274.7,Degrees,Degrees
WindDir_Min,2025-07-30 01:55:00,260.7,Degrees,Degrees
WindDir_Min,2025-07-30 01:56:00,268.8,Degrees,Degrees
WindDir_Min,2025-07-30 01:57:00,265.2,Degrees,Degrees
WindDir_Min,2025-07-30 01:58:00,260.2,Degrees,Degrees
WindDir_Min,2025-07-30 01:59:00,267.1,Degrees,Degrees
WindDir_Min,2025-07-30 02:00:00,265.0,Degrees,Degrees
WindDir_Min,2025-07-30 02:01:00,273.1,Degrees,Degrees
WindDir_Min,2025-07-30 02:02:00,249.9,Degrees,Degrees
WindDir_Min,2025-07-30 02:03:00,202.6,Degrees,Degrees
WindDir_Min,2025-07-30 02:04:00,236.4,Degrees,Degrees
WindDir_Min,2025-07-30 02:05:00,227.6,Degrees,Degrees
WindDir_Min,2025-07-30 02:06:00,248.2,Degrees,Degrees
WindDir_Min,2025-07-30 02:07:00,257.7,Degrees,Degrees
WindDir_Min,2025-07-30 02:08:00,190.0,Degrees,Degrees
WindDir_Min,2025-07-30 02:09:00,268.8,Degrees,Degrees
WindDir_Min,2025-07-30 02:10:00,269.8,Degrees,Degrees
WindDir_Min,2025-07-30 02:11:00,251.5,Degrees,Degrees
WindDir_Min,2025-07-30 02:12:00,252.6,Degrees,Degrees
WindDir_Min,2025-07-30 02:13:00,271.5,Degrees,Degrees
WindDir_Min,2025-07-30 02:14:00,247.3,Degrees,Degrees
WindDir_Min,2025-07-30 02:15:00,241.2,Degrees,Degrees
WindDir_Min,2025-07-30 02:16:00,247.8,Degrees,Degrees
WindDir_Min,2025-07-30 02:17:00,252.8,Degrees,Degrees
WindDir_Min,2025-07-30 02:18:00,261.4,Degrees,Degrees
