Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WindDir_SD1_WVT,2025-07-25 00:00:00,31.24,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:01:00,9.43,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:02:00,42.0,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:03:00,42.6,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:04:00,55.18,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:05:00,25.0,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:06:00,38.15,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:07:00,9.26,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:08:00,9.66,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:09:00,9.63,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:10:00,14.56,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:11:00,13.81,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:12:00,35.71,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:13:00,26.64,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:14:00,12.58,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:15:00,36.43,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:16:00,31.11,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:17:00,55.66,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:18:00,46.12,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:19:00,24.14,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:20:00,31.83,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:21:00,11.6,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:22:00,39.54,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:23:00,32.37,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:24:00,42.09,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:25:00,25.34,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:26:00,11.22,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:27:00,30.3,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:28:00,24.12,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:29:00,13.04,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:30:00,16.13,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:31:00,11.16,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:32:00,28.56,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:33:00,18.62,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:34:00,19.52,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:35:00,11.79,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:36:00,27.7,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:37:00,11.09,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:38:00,33.19,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:39:00,14.31,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:40:00,31.62,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:41:00,38.59,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:42:00,36.83,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:43:00,13.87,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:44:00,32.34,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:45:00,20.59,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:46:00,15.52,Deg,Deg
WindDir_SD1_WVT,2025-07-25 00:47:00,26.97,Deg,Deg
