Código de Sensor,Tiempo de Lectura,Dato,Nombre del Sensor,Unidad de Medición
WindDir_Std,2025-07-28 00:00:00,10.81,Degrees,Degrees
WindDir_Std,2025-07-28 00:01:00,13.61,Degrees,Degrees
WindDir_Std,2025-07-28 00:02:00,10.51,Degrees,Degrees
WindDir_Std,2025-07-28 00:03:00,11.84,Degrees,Degrees
WindDir_Std,2025-07-28 00:04:00,15.53,Degrees,Degrees
WindDir_Std,2025-07-28 00:05:00,16.53,Degrees,Degrees
WindDir_Std,2025-07-28 00:06:00,9.57,Degrees,Degrees
WindDir_Std,2025-07-28 00:07:00,10.21,Degrees,Degrees
WindDir_Std,2025-07-28 00:08:00,21.99,Degrees,Degrees
WindDir_Std,2025-07-28 00:09:00,16.23,Degrees,Degrees
WindDir_Std,2025-07-28 00:10:00,13.98,Degrees,Degrees
WindDir_Std,2025-07-28 00:11:00,24.54,Degrees,Degrees
WindDir_Std,2025-07-28 00:12:00,9.08,Degrees,Degrees
WindDir_Std,2025-07-28 00:13:00,10.49,Degrees,Degrees
WindDir_Std,2025-07-28 00:14:00,24.49,Degrees,Degrees
WindDir_Std,2025-07-28 00:15:00,18.2,Degrees,Degrees
WindDir_Std,2025-07-28 00:16:00,10.75,Degrees,Degrees
WindDir_Std,2025-07-28 00:17:00,12.63,Degrees,Degrees
WindDir_Std,2025-07-28 00:18:00,9.19,Degrees,Degrees
WindDir_Std,2025-07-28 00:19:00,18.94,Degrees,Degrees
WindDir_Std,2025-07-28 00:20:00,13.16,Degrees,Degrees
WindDir_Std,2025-07-28 00:21:00,8.87,Degrees,Degrees
WindDir_Std,2025-07-28 00:22:00,15.86,Degrees,Degrees
WindDir_Std,2025-07-28 00:23:00,13.72,Degrees,Degrees
WindDir_Std,2025-07-28 00:24:00,14.56,Degrees,Degrees
WindDir_Std,2025-07-28 00:25:00,8.11,Degrees,Degrees
WindDir_Std,2025-07-28 00:26:00,29.19,Degrees,Degrees
WindDir_Std,2025-07-28 00:27:00,26.71,Degrees,Degrees
WindDir_Std,2025-07-28 00:28:00,12.93,Degrees,Degrees
WindDir_Std,2025-07-28 00:29:00,15.04,Degrees,Degrees
WindDir_Std,2025-07-28 00:30:00,11.62,Degrees,Degrees
WindDir_Std,2025-07-28 00:31:00,10.71,Degrees,Degrees
WindDir_Std,2025-07-28 00:32:00,12.01,Degrees,Degrees
WindDir_Std,2025-07-28 00:33:00,9.49,Degrees,Degrees
WindDir_Std,2025-07-28 00:34:00,15.61,Degrees,Degrees
WindDir_Std,2025-07-28 00:35:00,12.8,Degrees,Degrees
WindDir_Std,2025-07-28 00:36:00,11.51,Degrees,Degrees
WindDir_Std,2025-07-28 00:37:00,9.23,Degrees,Degrees
WindDir_Std,2025-07-28 00:38:00,9.82,Degrees,Degrees
WindDir_Std,2025-07-28 00:39:00,7.624,Degrees,Degrees
WindDir_Std,2025-07-28 00:40:00,9.29,Degrees,Degrees
WindDir_Std,2025-07-28 00:41:00,11.17,Degrees,Degrees
WindDir_Std,2025-07-28 00:42:00,10.75,Degrees,Degrees
WindDir_Std,2025-07-28 00:43:00,12.64,Degrees,Degrees
WindDir_Std,2025-07-28 00:44:00,12.21,Degrees,Degrees
WindDir_Std,2025-07-28 00:45:00,13.92,Degrees,Degrees
WindDir_Std,2025-07-28 00:46:00,17.97,Degrees,Degrees
WindDir_Std,2025-07-28 00:47:00,15.99,Degrees,Degrees
WindDir_Std,2025-07-28 00:48:00,10.86,Degrees,Degrees
WindDir_Std,2025-07-28 00:49:00,10.58,Degrees,Degrees
WindDir_Std,2025-07-28 00:50:00,10.35,Degrees,Degrees
WindDir_Std,2025-07-28 00:51:00,9.45,Degrees,Degrees
WindDir_Std,2025-07-28 00:52:00,22.11,Degrees,Degrees
WindDir_Std,2025-07-28 00:53:00,19.49,Degrees,Degrees
WindDir_Std,2025-07-28 00:54:00,18.86,Degrees,Degrees
WindDir_Std,2025-07-28 00:55:00,7.965,Degrees,Degrees
WindDir_Std,2025-07-28 00:56:00,12.44,Degrees,Degrees
WindDir_Std,2025-07-28 00:57:00,12.53,Degrees,Degrees
WindDir_Std,2025-07-28 00:58:00,13.75,Degrees,Degrees
WindDir_Std,2025-07-28 00:59:00,9.49,Degrees,Degrees
WindDir_Std,2025-07-28 01:00:00,7.778,Degrees,Degrees
WindDir_Std,2025-07-28 01:01:00,8.23,Degrees,Degrees
WindDir_Std,2025-07-28 01:02:00,10.0,Degrees,Degrees
WindDir_Std,2025-07-28 01:03:00,8.92,Degrees,Degrees
WindDir_Std,2025-07-28 01:04:00,10.3,Degrees,Degrees
WindDir_Std,2025-07-28 01:05:00,12.64,Degrees,Degrees
WindDir_Std,2025-07-28 01:06:00,13.67,Degrees,Degrees
WindDir_Std,2025-07-28 01:07:00,9.57,Degrees,Degrees
WindDir_Std,2025-07-28 01:08:00,13.86,Degrees,Degrees
WindDir_Std,2025-07-28 01:09:00,14.03,Degrees,Degrees
WindDir_Std,2025-07-28 01:10:00,9.04,Degrees,Degrees
WindDir_Std,2025-07-28 01:11:00,8.88,Degrees,Degrees
WindDir_Std,2025-07-28 01:12:00,11.6,Degrees,Degrees
WindDir_Std,2025-07-28 01:13:00,11.12,Degrees,Degrees
WindDir_Std,2025-07-28 01:14:00,12.99,Degrees,Degrees
WindDir_Std,2025-07-28 01:15:00,8.86,Degrees,Degrees
WindDir_Std,2025-07-28 01:16:00,8.56,Degrees,Degrees
WindDir_Std,2025-07-28 01:17:00,12.46,Degrees,Degrees
WindDir_Std,2025-07-28 01:18:00,11.36,Degrees,Degrees
WindDir_Std,2025-07-28 01:19:00,13.94,Degrees,Degrees
WindDir_Std,2025-07-28 01:20:00,12.3,Degrees,Degrees
WindDir_Std,2025-07-28 01:21:00,22.56,Degrees,Degrees
WindDir_Std,2025-07-28 01:22:00,17.78,Degrees,Degrees
WindDir_Std,2025-07-28 01:23:00,13.38,Degrees,Degrees
WindDir_Std,2025-07-28 01:24:00,11.45,Degrees,Degrees
WindDir_Std,2025-07-28 01:25:00,13.22,Degrees,Degrees
WindDir_Std,2025-07-28 01:26:00,8.94,Degrees,Degrees
WindDir_Std,2025-07-28 01:27:00,9.18,Degrees,Degrees
WindDir_Std,2025-07-28 01:28:00,8.22,Degrees,Degrees
WindDir_Std,2025-07-28 01:29:00,8.51,Degrees,Degrees
WindDir_Std,2025-07-28 01:30:00,13.28,Degrees,Degrees
WindDir_Std,2025-07-28 01:31:00,12.31,Degrees,Degrees
WindDir_Std,2025-07-28 01:32:00,8.56,Degrees,Degrees
WindDir_Std,2025-07-28 01:33:00,9.6,Degrees,Degrees
WindDir_Std,2025-07-28 01:34:00,11.85,Degrees,Degrees
WindDir_Std,2025-07-28 01:35:00,6.936,Degrees,Degrees
WindDir_Std,2025-07-28 01:36:00,17.4,Degrees,Degrees
WindDir_Std,2025-07-28 01:37:00,34.14,Degrees,Degrees
WindDir_Std,2025-07-28 01:38:00,24.61,Degrees,Degrees
WindDir_Std,2025-07-28 01:39:00,10.35,Degrees,Degrees
WindDir_Std,2025-07-28 01:40:00,13.53,Degrees,Degrees
WindDir_Std,2025-07-28 01:41:00,14.97,Degrees,Degrees
WindDir_Std,2025-07-28 01:42:00,60.84,Degrees,Degrees
WindDir_Std,2025-07-28 01:43:00,13.12,Degrees,Degrees
WindDir_Std,2025-07-28 01:44:00,21.05,Degrees,Degrees
WindDir_Std,2025-07-28 01:45:00,17.63,Degrees,Degrees
WindDir_Std,2025-07-28 01:46:00,9.51,Degrees,Degrees
WindDir_Std,2025-07-28 01:47:00,11.91,Degrees,Degrees
WindDir_Std,2025-07-28 01:48:00,13.11,Degrees,Degrees
