Categoría: Todas las categorías

Día,apruebo: (Chile)
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,1
2020-07-16,0
2020-07-17,0
2020-07-18,<1
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,1
2020-07-23,1
2020-07-24,0
2020-07-25,<1
2020-07-26,0
2020-07-27,0
2020-07-28,<1
2020-07-29,1
2020-07-30,0
2020-07-31,<1
2020-08-01,1
2020-08-02,<1
2020-08-03,<1
2020-08-04,1
2020-08-05,1
2020-08-06,1
2020-08-07,0
2020-08-08,<1
2020-08-09,0
2020-08-10,0
2020-08-11,<1
2020-08-12,1
2020-08-13,0
2020-08-14,<1
2020-08-15,1
2020-08-16,1
2020-08-17,1
2020-08-18,1
2020-08-19,1
2020-08-20,1
2020-08-21,1
2020-08-22,2
2020-08-23,2
2020-08-24,1
2020-08-25,1
2020-08-26,6
2020-08-27,7
2020-08-28,4
2020-08-29,4
2020-08-30,4
2020-08-31,3
2020-09-01,3
2020-09-02,3
2020-09-03,2
2020-09-04,2
2020-09-05,4
2020-09-06,4
2020-09-07,4
2020-09-08,4
2020-09-09,3
2020-09-10,4
2020-09-11,4
2020-09-12,4
2020-09-13,5
2020-09-14,4
2020-09-15,4
2020-09-16,3
2020-09-17,3
2020-09-18,5
2020-09-19,5
2020-09-20,4
2020-09-21,3
2020-09-22,3
2020-09-23,3
2020-09-24,4
2020-09-25,7
2020-09-26,13
2020-09-27,11
2020-09-28,8
2020-09-29,8
2020-09-30,6
2020-10-01,6
2020-10-02,6
2020-10-03,11
2020-10-04,12
2020-10-05,9
2020-10-06,8
2020-10-07,7
2020-10-08,6
2020-10-09,5
2020-10-10,6
2020-10-11,7
2020-10-12,7
2020-10-13,6
2020-10-14,5
2020-10-15,6
2020-10-16,7
2020-10-17,9
2020-10-18,14
2020-10-19,13
2020-10-20,12
2020-10-21,14
2020-10-22,17
2020-10-23,18
2020-10-24,24
2020-10-25,100
2020-10-26,71
2020-10-27,10
2020-10-28,3
2020-10-29,3
2020-10-30,2
2020-10-31,2
2020-11-01,2
2020-11-02,1
2020-11-03,1
