Categoría: Todas las categorías

Día,convención constitucional: (Chile),apruebo: (Chile),rechazo: (Chile),plebiscito: (Chile)
2020-07-10,0,0,<1,0
2020-07-11,0,0,<1,<1
2020-07-12,0,0,<1,<1
2020-07-13,0,0,<1,<1
2020-07-14,0,0,<1,<1
2020-07-15,0,<1,<1,<1
2020-07-16,0,0,<1,0
2020-07-17,0,0,<1,<1
2020-07-18,0,<1,<1,0
2020-07-19,0,0,<1,<1
2020-07-20,0,0,<1,<1
2020-07-21,0,0,<1,<1
2020-07-22,0,<1,<1,<1
2020-07-23,0,<1,<1,<1
2020-07-24,0,0,<1,<1
2020-07-25,0,<1,<1,<1
2020-07-26,0,0,<1,<1
2020-07-27,0,0,<1,<1
2020-07-28,0,<1,<1,<1
2020-07-29,0,<1,<1,<1
2020-07-30,0,0,<1,<1
2020-07-31,0,<1,<1,<1
2020-08-01,0,<1,<1,<1
2020-08-02,0,<1,<1,<1
2020-08-03,0,<1,<1,<1
2020-08-04,0,<1,<1,1
2020-08-05,0,<1,<1,<1
2020-08-06,0,<1,1,<1
2020-08-07,0,0,1,<1
2020-08-08,0,<1,<1,<1
2020-08-09,0,0,<1,<1
2020-08-10,0,0,<1,<1
2020-08-11,0,<1,<1,<1
2020-08-12,0,<1,<1,<1
2020-08-13,0,0,<1,<1
2020-08-14,0,<1,<1,<1
2020-08-15,0,<1,<1,<1
2020-08-16,0,<1,<1,<1
2020-08-17,0,<1,<1,<1
2020-08-18,0,<1,<1,<1
2020-08-19,0,<1,<1,<1
2020-08-20,0,<1,<1,1
2020-08-21,0,<1,<1,1
2020-08-22,0,<1,<1,<1
2020-08-23,0,<1,<1,<1
2020-08-24,0,<1,<1,1
2020-08-25,0,<1,<1,1
2020-08-26,0,1,1,1
2020-08-27,<1,1,1,1
2020-08-28,0,1,<1,1
2020-08-29,0,1,<1,1
2020-08-30,<1,1,<1,1
2020-08-31,<1,1,<1,1
2020-09-01,0,<1,<1,1
2020-09-02,0,<1,<1,1
2020-09-03,<1,<1,<1,1
2020-09-04,0,<1,<1,1
2020-09-05,0,1,1,1
2020-09-06,0,1,1,1
2020-09-07,0,1,1,1
2020-09-08,0,1,1,1
2020-09-09,0,1,1,1
2020-09-10,0,1,1,3
2020-09-11,0,1,<1,3
2020-09-12,0,1,<1,2
2020-09-13,0,1,1,2
2020-09-14,0,1,<1,1
2020-09-15,0,1,1,1
2020-09-16,0,1,<1,1
2020-09-17,0,1,<1,1
2020-09-18,0,1,1,1
2020-09-19,0,1,1,1
2020-09-20,0,1,<1,1
2020-09-21,<1,1,<1,1
2020-09-22,0,1,<1,1
2020-09-23,0,1,<1,1
2020-09-24,<1,1,1,1
2020-09-25,<1,1,1,2
2020-09-26,<1,3,2,2
2020-09-27,<1,2,2,2
2020-09-28,<1,1,1,2
2020-09-29,<1,1,1,2
2020-09-30,<1,1,1,2
2020-10-01,<1,1,1,2
2020-10-02,<1,1,1,3
2020-10-03,<1,2,1,14
2020-10-04,<1,2,1,7
2020-10-05,<1,2,1,7
2020-10-06,<1,1,1,5
2020-10-07,<1,1,1,4
2020-10-08,<1,1,1,3
2020-10-09,<1,1,1,3
2020-10-10,<1,1,1,4
2020-10-11,<1,1,1,4
2020-10-12,<1,1,1,3
2020-10-13,<1,1,1,3
2020-10-14,<1,1,1,2
2020-10-15,<1,1,1,2
2020-10-16,<1,1,1,3
2020-10-17,<1,2,1,3
2020-10-18,<1,3,2,5
2020-10-19,<1,2,2,5
2020-10-20,<1,2,2,5
2020-10-21,<1,3,2,6
2020-10-22,<1,3,2,6
2020-10-23,<1,3,2,8
2020-10-24,1,4,3,16
2020-10-25,3,19,11,100
2020-10-26,1,14,8,41
2020-10-27,<1,2,2,4
2020-10-28,<1,1,1,2
2020-10-29,0,1,1,1
2020-10-30,0,<1,<1,1
2020-10-31,0,<1,<1,1
2020-11-01,0,<1,<1,1
2020-11-02,0,<1,<1,1
2020-11-03,0,<1,<1,1
