Continente,País,Consulado,Circ.Electoral,Local,Mesa,Mesas Fusionadas,Electores,Nro.voto,Opción Constitución Política,Votos TRICEL
AFRICA,EGIPTO,SECCIÓN CONSULAR,EL CAIRO,CONSULADO,1.0,1,20.0,1.0,APRUEBO,6.0
AFRICA,EGIPTO,SECCIÓN CONSULAR,EL CAIRO,CONSULADO,1.0,1,20.0,2.0,RECHAZO,3.0
AFRICA,EGIPTO,SECCIÓN CONSULAR,EL CAIRO,CONSULADO,1.0,1,20.0,900.0,VOTOS NULOS,0.0
AFRICA,EGIPTO,SECCIÓN CONSULAR,EL CAIRO,CONSULADO,1.0,1,20.0,901.0,VOTOS EN BLANCO,1.0
AFRICA,KENIA,SECCIÓN CONSULAR,NAIROBI,CONSULADO,1.0,1,26.0,1.0,APRUEBO,6.0
AFRICA,KENIA,SECCIÓN CONSULAR,NAIROBI,CONSULADO,1.0,1,26.0,2.0,RECHAZO,5.0
AFRICA,KENIA,SECCIÓN CONSULAR,NAIROBI,CONSULADO,1.0,1,26.0,900.0,VOTOS NULOS,0.0
AFRICA,KENIA,SECCIÓN CONSULAR,NAIROBI,CONSULADO,1.0,1,26.0,901.0,VOTOS EN BLANCO,0.0
AFRICA,MARRUECOS,SECCIÓN CONSULAR,RABAT,CONSULADO,1.0,1,9.0,1.0,APRUEBO,4.0
AFRICA,MARRUECOS,SECCIÓN CONSULAR,RABAT,CONSULADO,1.0,1,9.0,2.0,RECHAZO,0.0
AFRICA,MARRUECOS,SECCIÓN CONSULAR,RABAT,CONSULADO,1.0,1,9.0,900.0,VOTOS NULOS,0.0
AFRICA,MARRUECOS,SECCIÓN CONSULAR,RABAT,CONSULADO,1.0,1,9.0,901.0,VOTOS EN BLANCO,0.0
AFRICA,SUDAFRICA,SECCIÓN CONSULAR,PRETORIA,CONSULADO,1.0,1,92.0,1.0,APRUEBO,8.0
AFRICA,SUDAFRICA,SECCIÓN CONSULAR,PRETORIA,CONSULADO,1.0,1,92.0,2.0,RECHAZO,8.0
AFRICA,SUDAFRICA,SECCIÓN CONSULAR,PRETORIA,CONSULADO,1.0,1,92.0,900.0,VOTOS NULOS,0.0
AFRICA,SUDAFRICA,SECCIÓN CONSULAR,PRETORIA,CONSULADO,1.0,1,92.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO,BAHIA BLANCA,CONSULADO,1.0,1,330.0,1.0,APRUEBO,43.0
AMERICA,ARGENTINA,CONSULADO,BAHIA BLANCA,CONSULADO,1.0,1,330.0,2.0,RECHAZO,9.0
AMERICA,ARGENTINA,CONSULADO,BAHIA BLANCA,CONSULADO,1.0,1,330.0,900.0,VOTOS NULOS,1.0
AMERICA,ARGENTINA,CONSULADO,BAHIA BLANCA,CONSULADO,1.0,1,330.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO,BAHIA BLANCA,CONSULADO,2.0,2,297.0,1.0,APRUEBO,37.0
AMERICA,ARGENTINA,CONSULADO,BAHIA BLANCA,CONSULADO,2.0,2,297.0,2.0,RECHAZO,8.0
AMERICA,ARGENTINA,CONSULADO,BAHIA BLANCA,CONSULADO,2.0,2,297.0,900.0,VOTOS NULOS,3.0
AMERICA,ARGENTINA,CONSULADO,BAHIA BLANCA,CONSULADO,2.0,2,297.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO,COMODORO RIVADAVIA,LOCAL PRIVADO,1.0,1-2,406.0,1.0,APRUEBO,53.0
AMERICA,ARGENTINA,CONSULADO,COMODORO RIVADAVIA,LOCAL PRIVADO,1.0,1-2,406.0,2.0,RECHAZO,12.0
AMERICA,ARGENTINA,CONSULADO,COMODORO RIVADAVIA,LOCAL PRIVADO,1.0,1-2,406.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO,COMODORO RIVADAVIA,LOCAL PRIVADO,1.0,1-2,406.0,901.0,VOTOS EN BLANCO,2.0
AMERICA,ARGENTINA,CONSULADO,MAR DEL PLATA,LOCAL EDUCACIONAL,1.0,1-2,419.0,1.0,APRUEBO,52.0
AMERICA,ARGENTINA,CONSULADO,MAR DEL PLATA,LOCAL EDUCACIONAL,1.0,1-2,419.0,2.0,RECHAZO,10.0
AMERICA,ARGENTINA,CONSULADO,MAR DEL PLATA,LOCAL EDUCACIONAL,1.0,1-2,419.0,900.0,VOTOS NULOS,3.0
