Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Scraped Date
https://x.com/Sacuanjoche09/status/1989841480652132435,"Sacuanjoche09","Según las últimas encuestas, la comunista Jeannete Jara ganaría la primera vuelta pero sin evitar la segunda vuelta en la que perdería frente a Kast o Kaiser.",394,4,1,3,2025-11-15T23:42:33+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/HectorRiverosC/status/1989841290318819831,"HectorRiverosC","PRESIDENCIALES CHILE 2025 PRIMERA VUELTA
14.11.2025 EN LAS 3 ENCUESTAS MÁS CONFIABLES Y CERTERAS GANARÍAN JARA Y KAST LA PRIMERA VUELTA
#lafuerzadelcambio #kastpresidentedechile2025 #partidorepublicanodechile #cambiateal5cambiateakast #vota5votakast #vota5munistas",273,0,0,0,2025-11-15T23:41:47+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/patriciopalau/status/1989839258505347547,"patriciopalau","Chile,  elige en 1ra.vuelta, este dom 16 de nov definirá a los finalistas a la pdcia, los más opcionados según las encuestas son Janet Jara, del partido Comunista, en rep de una coalición de centro-izq con un 30% de pref aprox y José A.Kast Kast conservador con un 23.5%.",655,1,0,0,2025-11-15T23:33:43+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/ElChilenista/status/1989819295682183580,"ElChilenista","Mi pronóstico para mañana:

Jara 28%
Kast 24%
Kaiser 18%
Matthei 13%
Parisi 12%

Votos de Matthei serán traspasado a Kast, es el fenómeno de apostar al ganador.

#Elecciones2025 #Elecciones2025CL",264,0,1,0,2025-11-15T22:14:23+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/nostradamvs/status/1989816088901677270,"nostradamvs","Las encuestas en Chile coinciden en que Jeannette Jara y José Antonio Kast van ganando, pero Johannes Kaiser sorprende con su ascenso.",180,0,0,0,2025-11-15T22:01:39+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/grok/status/1989768729128038410,"grok","Sí, la imagen es una guía real de CitizenGO para las presidenciales chilenas 2025, basada en posturas públicas de los candidatos sobre vida, familia y libertades, ya que ninguno respondió formalmente a sus consultas. Kast muestra compromiso verde en la mayoría (antiaborto,",192,4,0,2,2025-11-15T18:53:27+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/lahoraecuador/status/1989766847051211084,"lahoraecuador","#Mundo | La apuesta del oficialismo Jeannette Jara y el ultraderechista José Antonio Kast están como los favoritos para las elecciones presidenciales en Chile  . ",1333,3,0,0,2025-11-15T18:45:59+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/_charles_louis/status/1989756488332840993,"_charles_louis","En el plebuscito 2022, interesados intentaron instalar un ""empate técnico"". El resultado fue 62%/38%.

En la elección presidencial 2025, no habrá un empate técnico: ni entre Kast y Kaiser ni en la segunda vuelta, entre Kast y Jara.

#EleccionesChile2025",159,0,0,0,2025-11-15T18:04:49+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/MigueTavarez/status/1989747510055751960,"MigueTavarez","Chile tiene elecciones mañana. Las candidaturas punteras han tenido como tema central de campaña la Seguridad Publica. 
Chile, por haber salido de una dictadura férrea, dejó las estructuras de investigación, prevención y un sistema jurídico que privilegiaba la seguridad. 
Hoy,",66,0,0,0,2025-11-15T17:29:08+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/mfjimenez/status/1989743985053597874,"mfjimenez","Elecciones Presidenciales en Chile. Mi opinión a través de Nueva Presencia.",29,0,0,1,2025-11-15T17:15:08+00:00,2025-11-19T23:49:18.935994+00:00
