Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Scraped Date
https://x.com/NoAlGatoXIiebre/status/1320510035508764672,"NoAlGatoXIiebre","Bueno. Se redactará nueva Constitución. Y muchos desde mañana nos prepararemos para tener un futuro quizás en otro país. Si violencia se acrecienta como parece será, este ya no es un país seguro y ninguna Constitución lo hará un mejor lugar si las personas aplauden delincuencia.",0,3,4,0,2020-10-25T23:38:21+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/fredyarzola/status/1320481782081429510,"fredyarzola","En Venezuela caimos en la trampa de Chavez con una nueva constitución ya q la vieja le impedía ser dueño de todos los poderes, con la nueva se quedó con todos los poderes Y DE ESA FORMA DESTRUYERON AL MEJOR PAIS DEL MUNDO,Chile el comunismo te tiene en la mira,cuidado con el cepo",0,4,5,0,2020-10-25T21:46:04+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/__lichtenstein/status/1320464139953807360,"__lichtenstein","pasaron de 'El #Rechazo crece' y 'Chile no quiere más violencia' a 'lo importante es el proceso, no los resultados' y 'las convicciones se defienden hasta el final' en menos de 24 horas.

suavizaron sus palabras ante la inminente paliza electoral que se viene.

#Plebiscito2020",0,18,6,2,2020-10-25T20:35:58+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/anilorac312/status/1320448329596260355,"anilorac312","Vayan a votar #Rechazo y quédense para el conteo, se ha visto mucho fraude!!",0,25,13,0,2020-10-25T19:33:09+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/FontirroigPablo/status/1320441141913931778,"FontirroigPablo","Chile infestado de comunismo, ANTIFAS, violencia e intolerancia. 
#PatriayLibertad 
#Rechazo 
#Plebiscito2020",0,14,9,1,2020-10-25T19:04:35+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/robotcopchile/status/1320406138731565056,"robotcopchile","Los #Apruebo se tomaron todos las mesas que estaban sin constituir, tienen controladas casi todas las mesas, sino ganan por los votos ganan por el fraude.

El rechazo se quedó dormido y pensamos que votando estábamos listo, no es un buen presagio hay mucho descontrol.",0,77,64,8,2020-10-25T16:45:30+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/bianchileiton/status/1320398476858040329,"bianchileiton","Ya de vuelta. Linda fiesta, mucha gente. Pese a las trabas y las trampas, a las mentiras y los amarres, pese a los egoístas de siempre metiendo miedo e intentando cualquier cosa para engañar a la gente, Chile sigue confiando en el poder del voto y de la movilización #apruebo #cc",0,1383,183,24,2020-10-25T16:15:03+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/jebus_dice/status/1320385876946538497,"jebus_dice","Quedan menos de ocho horas para expresar tu odio a piñera y a la izquierda terrorista que destruyó hasta tus sueños, vota #Rechazo",0,49,17,0,2020-10-25T15:24:59+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/jebus_dice/status/1320385055492132868,"jebus_dice","Cuando estén votando sientan el olor a humo, sientan la sensación de perderlo todo, sientan la sensación de quedar sin pega, sientan hambre, sientan odio a todo eso y voten #Rechazo",0,240,103,4,2020-10-25T15:21:43+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/jebus_dice/status/1320379986642194433,"jebus_dice","El miedo al comunismo te inmoviliza,deja que tu odio al psicópata de piñera te empuje y anda a votar #Rechazo",0,50,17,0,2020-10-25T15:01:34+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/nimbuscienta/status/1320377147328991232,"nimbuscienta","¿Están pidiendo una nueva Constitución política en el gobierno del terror?",0,101,10,8,2020-10-25T14:50:18+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/FontirroigPablo/status/1320362050653126656,"FontirroigPablo","Mesas constituidas el extranjero: 155
    Mesas constituidas en Chile: 44.311
    Total mesas: 44.466
    Total Porcentaje de mesas constituidas: 98.99%
    El destino de Chile y el #Rechazo a la violencia, se define 
    en la patria. 
Fuente: Servel.",0,28,6,0,2020-10-25T13:50:18+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/catibra/status/1320222416996585474,"catibra","A los que tienen miedo de los izquierdistas o del bicho de corona mañana que se les pase se levantan se ponen la máscara que nos han impuesto llevas su carnet y votan #Rechazo acá no hay espacio para la cobardía todos somos patriotas #RechazoConElAlma",0,90,54,7,2020-10-25T04:35:27+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/serruchito75/status/1320217368426123265,"serruchito75","Weon me tome la botella de vino que era pa mañana, puto alcoholismo y la csm, te odio, mñn me voy a tener que tomar la que era pal lunes...
Puta vida, así no hay bolsillo ni hígado que aguante...
Y yo que quería ser princesa.
Mñn igual #Apruebo.",0,268,15,36,2020-10-25T04:15:23+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/MonicaConSiria/status/1320178441715580929,"MonicaConSiria","No les parece una trampa del sistema rechazar una Nueva Constitución, marcar ""mixta"" y que ese voto cuente? Quiénes fueron  l@s ideólog@s de esa estafa?",0,11,7,1,2020-10-25T01:40:42+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/FontirroigPablo/status/1320166017830690816,"FontirroigPablo","Piñera ha defraudado a su electorado y quienes lo votamos tenemos rabia porque fuimos estafados.
Si llega a perder la opción del #Rechazo , la violencia aumentará y puede generarse de ambos bandos..
¡Exigiremos respuestas porque lo que hace Piñera es anti democrático!",0,57,20,1,2020-10-25T00:51:20+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/PierreCurieD/status/1320057885846626307,"PierreCurieD","La centro Izq tratará de rentabilizar el intento de golpe de Estado de la Izq radical. Esta vez a diferencia del 2011, no podrá rentabilizar, debido a que Vidal no es Bachelet, y el repugnante uso de la violencia a su favor, y tímida condena, será castigado en las urnas #Rechazo",0,22,10,0,2020-10-24T17:41:40+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/PierreCurieD/status/1320049002314928129,"PierreCurieD","La Izq radical nunca ha superado el 20% en estos últimos 30 años, el invento de la calle es otra manera de hacer trampa. Propongan sus ideas al país y las votamos, si son malas perderán  como siempre. #Rechazo
ME-O “Piñera es minoría y tendrá que aceptar las voces de la calle”",0,23,9,1,2020-10-24T17:06:22+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/cherrAL62/status/1320047622481235969,"cherrAL62","Israelí en Chile me dice; no pueden pretender que sea legitimo un plebiscito que tuvo su origen en la extorsión por la violencia y pretender que una nueva Constitución solucionará los problemas sociales con la misma clase política. Eso es de la mas brutal ignorancia.
#Rechazo",0,47,33,0,2020-10-24T17:00:53+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/juancarlossaid/status/1320037761206857729,"juancarlossaid","Votar #apruebo no es la solución para todos los problemas. Es votar para darnos una oportunidad de ponernos de acuerdo en el Chile q soñamos. Tiene riesgos, pero también esperanza. Sin odio, sin violencia. #AprueboCC",0,844,157,19,2020-10-24T16:21:42+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/VeronicaWelkner/status/1320028877507465217,"VeronicaWelkner","Votar por una nueva constitución es validar la violencia que la generó.
#PorChileYoRechazo",0,21,16,0,2020-10-24T15:46:24+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/riosmauricio/status/1320005812987793414,"riosmauricio","Mañana hay plebiscito en Chile para ver si redactan una nueva constitución. Dicen que así se iniciaría un proceso de re-democratización, pero, paradójicamente, no hubiera sucedido nunca sin varios meses de un nivel de violencia injustificada impresionante en 2019 y hoy. #Rechazo",0,60,8,8,2020-10-24T14:14:44+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/ChileanProfile/status/1319763824971571200,"ChileanProfile","Este Plebiscito es un Fraude y el domingo 25 de Octubre lo ganaremos limpiamente, por mayoría.

Todo #ChileUnidoRechaza Nueva Constitución",0,358,179,11,2020-10-23T22:13:10+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/ChalecoRagna/status/1319717019445592064,"ChalecoRagna","Q bien en la pega varios apruebo ya son #Rechazo la izmierda y su violencia los convencio ",0,29,7,0,2020-10-23T19:07:11+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/jorgeerrazuriz/status/1319658200795328514,"jorgeerrazuriz","Así es la Violencia y el Odio de los Ciclistas  Orcos del Apruebo. Atacan a vecinos que sólo quieren Paz . Por eso vamos a votar  #RECHAZO",0,14,7,0,2020-10-23T15:13:27+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/rogofe47Chile/status/1319637365007257601,"rogofe47Chile","Cuidado con la OPCIÓN #APRUEBO  son los mismos que vimos con la violencia el día domingo pasado, quemando iglesias y bienes. Vota #Rechazo y estaremos salvando la Democracia y la Patria.",0,7,6,0,2020-10-23T13:50:40+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/SusanaRubioN/status/1319631892308774912,"SusanaRubioN","En la nueva constitución se tendrá que revisar el robo y estafa del TAG. #NoMasTAG",0,1,0,0,2020-10-23T13:28:55+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/dipuBobadilla/status/1319420501463339008,"dipuBobadilla","Bando N° 1977

Sólo el #Rechazo termina con la violencia y el terrorismo",0,78,29,3,2020-10-22T23:28:55+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/aldocardinali/status/1319413394642972678,"aldocardinali","El negar las atrocidades del PC es negar su historia, el infundir miedo antes de un plebiscito es parta de su actitud y estrategia, el no asumir derrotas es parte de sus fracasos.
Vamos con rabia, pero vamos con convicción que la Patria nos necesita. Por eso, sin miedo #RECHAZO",0,122,89,3,2020-10-22T23:00:41+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/HeraldoMunoz/status/1319402677827260416,"HeraldoMunoz","La derecha desempolvó su peor guion de campaña plebiscito del 88 para meter miedo con imágenes de actos violentos de grupos minoritarios, repudiados por inmensa mayoría. Propaganda del terror pura y simple. Malgastaron la plata, pues la gente irá a votar #Apruebo sin temor.",0,584,162,146,2020-10-22T22:18:06+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/Roswalcsj1/status/1319360567929425920,"Roswalcsj1","SIN MIEDO A SER FELIZ, YO APOYO LA NUEVA CONSTITUCIÓN CON DEMOCRACIA PARTICIPATIVA, PARA EL PUEBLO LO QUE ES DEL PUEBLO.",0,114,20,4,2020-10-22T19:30:46+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/GabrielBoric/status/1319306842225463303,"GabrielBoric","La franja del rechazo solo habla de violencia. Ni una idea, solo miedo. El #Apruebo es esperanza de construir juntos un Chile justo, sin miedo, sin violencia.",0,4880,805,1200,2020-10-22T15:57:17+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/porkyasecas/status/1319137426397384708,"porkyasecas","Trampa del apru3bo por donde se mire:

Prensa a favor
Adoctrinamiento a pendejos
Segunda papeleta
Encuestas falsas
TV entregada
Mentirle a la soa Juanita
Negar la cantidad de gente en las marchas del #Rechazo

El triunfo del #Rechazo será mucho mas bello con todo esto en contra.",0,156,96,4,2020-10-22T04:44:05+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/Caplevi1540/status/1319072338294525952,"Caplevi1540","Zurdos cuando Soa Ledy estaba en pasapalabra

- ""Es demasiado seca, idola, la mejor"".

Zurdos cuando se enteran que Soa Ledy votará #Rechazo

- ""Me cae mal, no cacha nada, la odio, que insoportable"".

Zurdo, en serio, la payasada de uds ya es patológica.",0,96,52,0,2020-10-22T00:25:27+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/ChileanProfile/status/1319038188644610054,"ChileanProfile","El domingo 25 de Octubre no sólo se acabará toda esta parafernalia de Rechazar una Nueva Constitución, sino que además se estaría poniendo fin como a 4 teleseries y culebrones acá en Twitter, con finales de miedo !

#ChileUnidoRechaza con todo !",0,170,91,13,2020-10-21T22:09:45+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/Cperezcarvallo/status/1318951955159461893,"Cperezcarvallo","Ellos, saltaron el torniquete sin miedo y cambiaron la historia... 

Nosotros, votaremos en nombre de todos ellos y agradecidos.

#Apruebo #ConvencionConstitucional",0,148,39,11,2020-10-21T16:27:05+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/do5i5/status/1318576508894646272,"do5i5","La nueva constitución no va a acabar con la violencia por sí sola. Sí puede cambiar el escenario para empezar a reducir las causas de la violencia. Si no cambian esas condiciones, ahí sí hay condena a perpetuar la violencia.

La derecha cree que es una cuestión de libre albedrío.",0,4,1,0,2020-10-20T15:35:12+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/dipuBobadilla/status/1318568649821769730,"dipuBobadilla","Yo no creo que los violentistas y sus seguidores sean mayoría en Chile.

La mayoría en Chile #Rechaza la violencia y no aprueba la destrucción de Chile

Este domingo dejemos a los violentistas solos y aislados con el triunfo del #Rechazo",0,88,56,6,2020-10-20T15:03:58+00:00,2025-11-20T23:27:08.871606+00:00
https://x.com/DeltaLuke_/status/1320152992298000385,"DeltaLuke_","Las votaciones para ""Aprobar"" o ""Rechazar"" la nueva Constitución en Chile es mañana, y es de suma importancia que todos quienes puedan vayan a votar.
Apruebo, Rechazo;  voten por lo que crean que es correcto para el pais. Pero por favor, salgan a votar.
#Apruebo #Rechazo #Chile",0,1,0,1,2020-10-24T23:59:35+00:00,2025-11-20T23:23:09.177718+00:00
https://x.com/MiguelitoGriton/status/1320152397725958145,"MiguelitoGriton","Mañana tenemos la oportunidad de forzar lo que una clase política sin urgencias negó durante 30 años, una nueva Constitución.",0,10,3,1,2020-10-24T23:57:13+00:00,2025-11-20T23:23:09.177718+00:00
https://x.com/PauliRecabal/status/1320152221879861248,"PauliRecabal","Ya me puse pijama y me acosté, mañana se madruga y se aprueba una nueva Constitución ",0,5,0,0,2020-10-24T23:56:31+00:00,2025-11-20T23:23:09.177718+00:00
https://x.com/Cristianmcfly/status/1320152116829294594,"Cristianmcfly","No puedo dejar de pensar en Gustavo, Fabiola, Mario, Alex, Mauricio, Aníbal, Yoshua, Daniela, Abel y todos los que ya no están. Hay sangre derramada en este proceso, por culpa del asesino 
@sebastianpinera
. Mañana tenemos un deber cívico-moral! Por ellxs, por nosotrxs, #Apruebo",0,9,1,0,2020-10-24T23:56:06+00:00,2025-11-20T23:23:09.177718+00:00
https://x.com/RRiverosM/status/1320152022276919296,"RRiverosM","Hoy día era eso de votar por una nueva constitución?",0,0,0,0,2020-10-24T23:55:44+00:00,2025-11-20T23:23:09.177718+00:00
https://x.com/PiaNaau/status/1320151883332333575,"PiaNaau","Mientras estudiaba constitucional hace unos años, jamás pensé que iba a vivir y votar la reforma de esa constitución nefasta. Mañana será un día histórico para nuestro país, por eso #Apruebo MIL VECES #AprueboConvencionConstitucional",0,5,1,1,2020-10-24T23:55:10+00:00,2025-11-20T23:23:09.177718+00:00
